list_name,name,label,label::Hausa,state,LGA,Ward
,,,,,,
consent,yes,Yes,Eh,,,
consent,no,No,A'a,,,
,,,,,,
key_info,bulama,Bulama,Bulama,,,
key_info,camp_leader,Camp leader,Shugaban sansanin hijira,,,
key_info,community_leader,Community leader,Shugaban al'umma,,,
key_info,others,Others,Sauran,,,
,,,,,,
yndk,yes,Yes,Eh,,,
yndk,no,No,A'a,,,
yndk,98,No response,Ba amsa,,,
yndk,99,Don't know,Bani da sani,,,
,,,,,,
exposed_who,men,Men,Maza,,,
exposed_who,women,Women,Mata,,,
exposed_who,adolescent_boy,Adolescent boys (age 12-17 years),Matasa masu (shekaru 12-17 shekaru),,,
exposed_who,adolescent_girl,Adolescent girls (age 12-17 years),Matashiya mai (shekaru 12-17 shekaru),,,
exposed_who,boys,Boys (age <12 years),Yara masu (shekaru <12 shekaru),,,
exposed_who,girls,Girls (age <12 years),Yan mata masu (shekaru <12 shekaru),,,
exposed_who,97,Other,Sauran,,,
exposed_who,98,No response,Ba amsa,,,
exposed_who,99,Don't know,Bani da sani,,,
,,,,,,
exposed_when,traveling,Moving / traveling from one place to another / going to work,Motsawa / tafiya daga wuri guda zuwa wani ko yin aiki,,,
exposed_when,farms,When working on the farms,,,,New addition
exposed_when,firewood,When collecting firewood,,,,New addition
exposed_when,scrap_metal_collection,Collecting scrap metal,Tattara kayan ?arfe,,,
exposed_when,children_playing,Children while playing,Yara yayin wasa,,,
exposed_when,school,"Going to school, or at school","Samun makaranta, ko a makaranta",,,
exposed_when,when_removing_explosive,Attempt by community member to remove explosive device,?o?ari ta hanyar memba na al'umma don cire kayan fashewa,,,
exposed_when,97,Other,Sauran,,,
exposed_when,98,No response,Ba amsa,,,
exposed_when,99,Don't know,Ba su sani ba,,,
,,,,,,
exposed_land,agricultural_land,Agricultural land,?asar gona,,,
exposed_land,hospital,Hospital,Asibiti,,,
exposed_land,school,School,Makaranta,,,
exposed_land,residential_area,Residential areas / homes,Yankunan zama na gida / gidajensu,,,
exposed_land,other_public_space,Other public space/area,Sauran ginin alumma ko gini,,,
exposed_land,other_public_building,Other public buildings,Sauran gine-gine na jama'a,,,
exposed_land,98,No response,Ba amsa,,,
exposed_land,99,Don't know,Ba su sani ba,,,
,,,,,,
environment_incident,yes_multiple,"Yes, multiple times","Eh, sau da yawa",,,
environment_incident,yes_once,"Yes, only once","Eh, sau daya kawai",,,
environment_incident,no_flood,No,A'a,,,
environment_incident,98,No response,Ba amsa,,,
environment_incident,99,Don't know,Ba mu sani ba,,,
,,,,,,
environment_affected,few_affected,Few households affected(less than 1/3 of households),Iyalan gidaje sun shafi (kasa da 1/3 na gidaje),,,
environment_affected,some_affected,Some households affected (greater than 1/3 but less than 2/3 of households),Wasu gidaje sun shafi (fiye da 1/3 amma žasa da 2/3 na gidaje),,,
environment_affected,most_affected,Most households (greater than 2/3 but not all households),Yawancin gidaje (fiye da 2/3 amma ba duk gidaje ba),,,
environment_affected,all_affected,All households affected,Ya shafi dukkanin gidajen,,,
,,,,,,
facility_affected,few_affected,Few facilities affected(less than 1/3 of facilities),,,,
facility_affected,some_affected,Some facilities affected (greater than 1/3 but less than 2/3 of facilities),,,,
facility_affected,most_affected,Most facilities (greater than 2/3 but not all facilities),,,,
facility_affected,all_affected,All facilities affected,,,,
facility_affected,98,No response,,,,
facility_affected,99,Don't know,,,,
,,,,,,
facility_renew,renew_none,None of the facilities,,,,
facility_renew,renew_some,Some of the facilities only,,,,
facility_renew,renew_all,All the facilities,,,,
facility_renew,98,No response,,,,
facility_renew,99,Don't know,,,,
,,,,,,
flood_severity,one_day,Lasted one day only,Ya dade tsawon rana daya ne kawai,,,
flood_severity,two_three_days,Lasted 2-3 days,,,,
flood_severity,one_week,Lasted between 4 days and a week,Ya dade tsakanin kwana hudu  zuwa sati daya ne kawai,,,
flood_severity,week_month,"Lasted greater than a week, but less than a month",Ya dade sosai fiye da sati daya amma kasa da wata daya,,,
flood_severity,more_then_one_month,Lasted greater than a month,Ya dade sosai fiye da wata daya,,,
flood_severity,98,No response,Ba amsa,,,
flood_severity,99,Don't know,Ba su sani ba,,,
,,,,,,
accuracy,where_expected,"Settlement was where expected, GPS accurate","Wajen ya kasance inda aka sa ran, GPS cikakke",,,
accuracy,far_from_expected,"Settlement was far from where expected (>0.5 km), GPS not accurate","Wajen ya kasance daga inda aka sa ran (> 0.5 km), GPS ba daidai bane",,,
accuracy,settlement_absent,"Settlement was absent, or abandoned","Babu kowa agarin, ko watsi",,,
accuracy,98,No response,Ba amsa,,,
accuracy,99,Don't know,Ba su sani ba,,,
,,,,,,
access,not_accessible,Not accessible,Ba ,,,
access,motorbike_keke,By motorcycle / keke,Babur / keke,,,
access,car_minivan,By car / minivan,Da mota,,,
access,97,Other,Sauran,,,
,,,,,,
firewood_change,firewood_decreased,Decreased,Ya Ragu,,,
firewood_change,firewood_no_change,No change,Babu chanji,,,
firewood_change,firewood_increased,Increased,Ya karu,,,
firewood_change,firewood_never_available,Was never available,Babu kwata kwata,,,
firewood_change,no_response,No response,Ba amsa,,,
firewood_change,dont_know,Don't know,Ba su sani ba,,,
,,,,,,
unaccompanied_living_arrangement,alone_or_group,Living alone or with a group of children,,,,New addition
unaccompanied_living_arrangement,orphanage_collective_centre,Living in an orphanage or a collective centre,,,,New addition
unaccompanied_living_arrangement,adult_caregivers,Living with adult caregivers,,,,New addition
unaccompanied_living_arrangement,97,Other,,,,
unaccompanied_living_arrangement,98,No response,,,,New addition
unaccompanied_living_arrangement,99,Don't know,,,,New addition
,,,,,,
children_behaviour,unwilling_school,Unwillingness to go to school,,,,New addition
children_behaviour,difficulty_sleeping,Difficulties with sleep,,,,New addition
children_behaviour,isolation,Isolation,,,,New addition
children_behaviour,unwilling_help,Less willingness to help parents/caregivers,,,,New addition
children_behaviour,sadness,Sadness,,,,New addition
children_behaviour,violence_against_children,Violence against other children,,,,New addition
children_behaviour,violence_community,Violent behaviour in general in the community,,,,this is my addition
children_behaviour,eager_armed_group,Radicalization,,,,this is my addition
children_behaviour,substance_abuse,Substance abuse,,,,New addition
children_behaviour,crime,Committing crime,,,,New addition
children_behaviour,high_risk_sexual_behaviour,Engaging in high risk sexual behaviour,,,,New addition
children_behaviour,97,Other,,,,New addition
children_behaviour,98,No response,,,,New addition
children_behaviour,99,Don't know,,,,New addition
,,,,,,
children_behaviour_gender,boys,More frequent among boys,,,,New addition
children_behaviour_gender,girls,More frequent among girls,,,,New addition
children_behaviour_gender,98,No response,,,,New addition
children_behaviour_gender,99,Don't know,,,,New addition
,,,,,,
state,Borno,Borno,Borno,,,
state,Yobe,Yobe,Yobe,,,
state,Adamawa,Adamawa,Adamawa,,,
state,Other,Other,Other,,,
,,,,,,
LGA,Demsa,Demsa,Demsa,Adamawa,,
LGA,Fufore,Fufore,Fufore,Adamawa,,
LGA,Ganye,Ganye,Ganye,Adamawa,,
LGA,Girei,Girei,Girei,Adamawa,,
LGA,Gombi,Gombi,Gombi,Adamawa,,
LGA,Guyuk,Guyuk,Guyuk,Adamawa,,
LGA,Hong,Hong,Hong,Adamawa,,
LGA,Jada,Jada,Jada,Adamawa,,
LGA,Lamurde,Lamurde,Lamurde,Adamawa,,
LGA,Madagali,Madagali,Madagali,Adamawa,,
LGA,Maiha,Maiha,Maiha,Adamawa,,
LGA,Mayo_Belwa,Mayo-Belwa,Mayo-Belwa,Adamawa,,
LGA,Michika,Michika,Michika,Adamawa,,
LGA,Mubi_North,Mubi North,Mubi North,Adamawa,,
LGA,Mubi_South,Mubi South,Mubi South,Adamawa,,
LGA,Numan,Numan,Numan,Adamawa,,
LGA,Shelleng,Shelleng,Shelleng,Adamawa,,
LGA,Song,Song,Song,Adamawa,,
LGA,Toungo,Toungo,Toungo,Adamawa,,
LGA,Yola_North,Yola North,Yola North,Adamawa,,
LGA,Yola_South,Yola South,Yola South,Adamawa,,
LGA,Abadam,Abadam,Abadam,Borno,,
LGA,Askira_Uba,Askira/Uba,Askira/Uba,Borno,,
LGA,Bama,Bama,Bama,Borno,,
LGA,Bayo,Bayo,Bayo,Borno,,
LGA,Biu,Biu,Biu,Borno,,
LGA,Chibok,Chibok,Chibok,Borno,,
LGA,Damboa,Damboa,Damboa,Borno,,
LGA,Dikwa,Dikwa,Dikwa,Borno,,
LGA,Gubio,Gubio,Gubio,Borno,,
LGA,Guzamala,Guzamala,Guzamala,Borno,,
LGA,Gwoza,Gwoza,Gwoza,Borno,,
LGA,Hawul,Hawul,Hawul,Borno,,
LGA,Jere,Jere,Jere,Borno,,
LGA,Kaga,Kaga,Kaga,Borno,,
LGA,Kala_Balge,Kala/Balge,Kala/Balge,Borno,,
LGA,Konduga,Konduga,Konduga,Borno,,
LGA,Kukawa,Kukawa,Kukawa,Borno,,
LGA,Kwaya_Kusar,Kwaya Kusar,Kwaya Kusar,Borno,,
LGA,Mafa,Mafa,Mafa,Borno,,
LGA,Magumeri,Magumeri,Magumeri,Borno,,
LGA,Maiduguri,Maiduguri,Maiduguri,Borno,,
LGA,Marte,Marte,Marte,Borno,,
LGA,Mobbar,Mobbar,Mobbar,Borno,,
LGA,Monguno,Monguno,Monguno,Borno,,
LGA,Ngala,Ngala,Ngala,Borno,,
LGA,Nganzai,Nganzai,Nganzai,Borno,,
LGA,Shani,Shani,Shani,Borno,,
LGA,Other,Other,Other,Other,,
LGA,Bade,Bade,Bade,Yobe,,
LGA,Bursari,Bursari,Bursari,Yobe,,
LGA,Damaturu,Damaturu,Damaturu,Yobe,,
LGA,Fika,Fika,Fika,Yobe,,
LGA,Fune,Fune,Fune,Yobe,,
LGA,Geidam,Geidam,Geidam,Yobe,,
LGA,Gujba,Gujba,Gujba,Yobe,,
LGA,Gulani,Gulani,Gulani,Yobe,,
LGA,Jakusko,Jakusko,Jakusko,Yobe,,
LGA,Karasuwa,Karasuwa,Karasuwa,Yobe,,
LGA,Machina,Machina,Machina,Yobe,,
LGA,Nangere,Nangere,Nangere,Yobe,,
LGA,Nguru,Nguru,Nguru,Yobe,,
LGA,Potiskum,Potiskum,Potiskum,Yobe,,
LGA,Tarmua,Tarmua,Tarmua,Yobe,,
LGA,Yunusari,Yunusari,Yunusari,Yobe,,
LGA,Yusufari,Yusufari,Yusufari,Yobe,,
,,,,,,
ward,a_lawant,A Lawant,A Lawant,Borno,Marte,
ward,abbaram,Abbaram,Abbaram,Borno,Bama,
ward,adarawo,Adarawo,Adarawo,Adamawa,Yola_South,
ward,aduwa,Aduwa,Aduwa,Borno,Guzamala,
ward,afunori,Afunori,Afunori,Yobe,Nguru,
ward,afuye,Afuye,Afuye,Borno,Dikwa,
ward,ajigin_a,Ajigin A,Ajigin A,Borno,Damboa,
ward,ajigin_b,Ajigin B,Ajigin B,Borno,Damboa,
ward,ajiri,Ajiri,Ajiri,Borno,Konduga,
ward,ajiya,Ajiya,Ajiya,Adamawa,Yola_North,
ward,ala,Ala,Ala,Borno,Marte,
ward,alagarno,Alagarno,Alagarno,Borno,Kukawa,
ward,alarge,Alarge,Alarge,Borno,Nganzai,
ward,alau,Alau,Alau,Borno,Jere,
ward,alkalawa,Alkalawa,Alkalawa,Adamawa,Yola_North,
ward,amchaka,Amchaka,Amchaka,Borno,Bama,
ward,andara,Andara,Andara,Borno,Bama,
ward,ardimini,Ardimini,Ardimini,Borno,Gubio,
ward,ardoram,Ardoram,Ardoram,Borno,Magumeri,
ward,arege,Arege,Arege,Borno,Abadam,
ward,asaga,Asaga,Asaga,Borno,Mobbar,
ward,asheikri_1,Asheikri 1,Asheikri 1,Yobe,Geidam,
ward,asheikri_2,Asheikri 2,Asheikri 2,Yobe,Geidam,
ward,ashigashiya,Ashigashiya,Ashigashiya,Borno,Gwoza,
ward,askira_east,Askira East,Askira East,Borno,Askira_Uba,
ward,auno,Auno,Auno,Borno,Konduga,
ward,ayi_yasku,Ayi Yasku,Ayi Yasku,Borno,Magumeri,
ward,azir_multe,Azir Multe,Azir Multe,Borno,Damboa,
ward,babangida,Babangida,Babangida,Yobe,Tarmua,
ward,babel,Babel,Babel,Adamawa,Madagali,
ward,badairi,Badairi,Badairi,Borno,Marte,
ward,badu,Badu,Badu,Borno,Nganzai,
ward,baga,Baga,Baga,Borno,Kukawa,
ward,bahuli,Bahuli,Bahuli,Adamawa,Mubi_North,
ward,bajama,Bajama,Bajama,Adamawa,Mayo_Belwa,
ward,bakari_goso,Bakari Goso,Bakari Goso,Adamawa,Ganye,
ward,bako,Bako,Bako,Adamawa,Yola_South,
ward,bakta,Bakta,Bakta,Adamawa,Shelleng,
ward,balbaya,Balbaya,Balbaya,Borno,Bayo,
ward,balle,Balle,Balle,Yobe,Geidam,
ward,bangshika,Bangshika,Bangshika,Adamawa,Hong,
ward,banjiram,Banjiram,Banjiram,Adamawa,Guyuk,
ward,banki,Banki,Banki,Borno,Bama,
ward,banowa,Banowa,Banowa,Borno,Abadam,
ward,bara,Bara,Bara,Yobe,Gulani,
ward,bare,Bare,Bare,Adamawa,Numan,
ward,bare_bari,Bare Bari,Bare Bari,Yobe,Potiskum,
ward,bargu,Bargu,Bargu,Borno,Shani,
ward,barwati,Barwati,Barwati,Borno,Kukawa,
ward,bayamari,Bayamari,Bayamari,Yobe,Bursari,
ward,bazza_margi,Bazza Margi,Bazza Margi,Adamawa,Michika,
ward,bego,Bego,Bego,Borno,Damboa,
ward,belel,Belel,Belel,Adamawa,Maiha,
ward,benisheikh,Benisheikh,Benisheikh,Borno,Kaga,
ward,beti,Beti,Beti,Adamawa,Fufore,
ward,betso,Betso,Betso,Adamawa,Mubi_North,
ward,bila_gusi,Bila Gusi,Bila Gusi,Borno,Kwaya_Kusar,
ward,bilal_jawa,Bilal Jawa,Bilal Jawa,Yobe,Karasuwa,
ward,bilingwi,Bilingwi,Bilingwi,Borno,Hawul,
ward,bille,Bille,Bille,Adamawa,Demsa,
ward,bindigari_pawari,Bindigari Pawari,Bindigari Pawari,Yobe,Damaturu,
ward,binyeri,Binyeri,Binyeri,Adamawa,Mayo_Belwa,
ward,biriri,Biriri,Biriri,Yobe,Tarmua,
ward,bita_izge,Bita Izge,Bita Izge,Borno,Gwoza,
ward,bobini,Bobini,Bobini,Adamawa,Guyuk,
ward,boboshe,Boboshe,Boboshe,Borno,Dikwa,
ward,bodeno,Bodeno,Bodeno,Adamawa,Guyuk,
ward,bodwai,Bodwai,Bodwai,Adamawa,Shelleng,
ward,boga,Boga,Boga,Adamawa,Gombi,
ward,bogo,Bogo,Bogo,Yobe,Machina,
ward,bogomari,Bogomari,Bogomari,Borno,Bama,
ward,bogum,Bogum,Bogum,Borno,Mobbar,
ward,bole_yolde_pate,Bole Yolde Pate,Bole Yolde Pate,Adamawa,Yola_South,
ward,bolewa_a,Bolewa A,Bolewa A,Yobe,Potiskum,
ward,bolewa_b,Bolewa B,Bolewa B,Yobe,Potiskum,
ward,bolori_i,Bolori I,Bolori I,Borno,Maiduguri,
ward,bolori_ii,Bolori II,Bolori II,Borno,Maiduguri,
ward,borgozo,Borgozo,Borgozo,Borno,Kaga,
ward,borko,Borko,Borko,Yobe,Geidam,
ward,borno_kiji,Borno Kiji,Borno Kiji,Yobe,Fune,
ward,borno_yesu,Borno Yesu,Borno Yesu,Borno,Magumeri,
ward,borrong,Borrong,Borrong,Adamawa,Demsa,
ward,borsori,Borsori,Borsori,Borno,Marte,
ward,briyel,Briyel,Briyel,Borno,Bayo,
ward,buduwa,Buduwa,Buduwa,Yobe,Jakusko,
ward,bukarti,Bukarti,Bukarti,Yobe,Karasuwa,
ward,bulabulin,Bulabulin,Bulabulin,Borno,Gwoza,
ward,bulanguwa,Bulanguwa,Bulanguwa,Yobe,Nguru,
ward,bularafa,Bularafa,Bularafa,Yobe,Gulani,
ward,bulatura,Bulatura,Bulatura,Yobe,Yusufari,
ward,bultuwa,Bultuwa,Bultuwa,Yobe,Yunusari,
ward,buma,Buma,Buma,Borno,Shani,
ward,bumsa,Bumsa,Bumsa,Yobe,Gulani,
ward,bundur,Bundur,Bundur,Borno,Kukawa,
ward,buni_gari,Buni Gari,Buni Gari,Yobe,Gujba,
ward,buni_yadi,Buni Yadi,Buni Yadi,Yobe,Gujba,
ward,buratai,Buratai,Buratai,Borno,Biu,
ward,busuna,Busuna,Busuna,Borno,Abadam,
ward,bwalki,Bwalki,Bwalki,Adamawa,Numan,
ward,chamba,Chamba,Chamba,Borno,Mobbar,
ward,chikide,Chikide,Chikide,Borno,Gwoza,
ward,chikila,Chikila,Chikila,Adamawa,Guyuk,
ward,chilariye,Chilariye,Chilariye,Yobe,Nangere,
ward,chukuriya,Chukuriya,Chukuriya,Yobe,Nangere,
ward,dabira,Dabira,Dabira,Borno,Gubio,
ward,dabule,Dabule,Dabule,Yobe,Nguru,
ward,dadingel,Dadingel,Dadingel,Yobe,Gujba,
ward,dagona,Dagona,Dagona,Yobe,Bade,
ward,daima,Daima,Daima,Borno,Kala_Balge,
ward,dakri,Dakri,Dakri,Adamawa,Girei,
ward,daksiri,Daksiri,Daksiri,Adamawa,Hong,
ward,dala,Dala,Dala,Borno,Jere,
ward,dalori,Dalori,Dalori,Borno,Konduga,
ward,dalwa,Dalwa,Dalwa,Borno,Konduga,
ward,damagum_a,Damagum A,Damagum A,Yobe,Fune,
ward,damagum_b,Damagum B,Damagum B,Yobe,Fune,
ward,damai,Damai,Damai,Yobe,Machina,
ward,damakasu,Damakasu,Damakasu,Yobe,Damaturu,
ward,damakuli,Damakuli,Damakuli,Borno,Monguno,
ward,damaram,Damaram,Damaram,Borno,Nganzai,
ward,damare,Damare,Damare,Adamawa,Girei,
ward,damasak,Damasak,Damasak,Borno,Mobbar,
ward,damaturu_central,Damaturu Central,Damaturu Central,Yobe,Damaturu,
ward,damboa_central,Damboa Central,Damboa Central,Borno,Damboa,
ward,danaba,Danaba,Danaba,Adamawa,Jada,
ward,danani,Danani,Danani,Yobe,Bursari,
ward,danchuwa,Danchuwa,Danchuwa,Yobe,Potiskum,
ward,dapchi,Dapchi,Dapchi,Yobe,Bursari,
ward,darajamal,Darajamal,Darajamal,Borno,Bama,
ward,daura_a,Daura A,Daura A,Yobe,Fune,
ward,daura_b,Daura B,Daura B,Yobe,Fune,
ward,dawasa,Dawasa,Dawasa,Yobe,Nangere,
ward,dawayo,Dawayo,Dawayo,Yobe,Bade,
ward,dawo_1,Dawo 1,Dawo 1,Adamawa,Toungo,
ward,dawo_2,Dawo 2,Dawo 2,Adamawa,Toungo,
ward,dazigau,Dazigau,Dazigau,Yobe,Nangere,
ward,degaltura,Degaltura,Degaltura,Yobe,Yunusari,
ward,degubi,Degubi,Degubi,Yobe,Nangere,
ward,dekwa,Dekwa,Dekwa,Yobe,Yunusari,
ward,demsa,Demsa,Demsa,Adamawa,Demsa,
ward,digil,Digil,Digil,Adamawa,Mubi_North,
ward,dikwa,Dikwa,Dikwa,Borno,Dikwa,
ward,dilala,Dilala,Dilala,Yobe,Yunusari,
ward,dille_huyim,Dille Huyim,Dille Huyim,Borno,Askira_Uba,
ward,dilli,Dilli,Dilli,Adamawa,Demsa,
ward,dirbishi_gandira,Dirbishi/Gandira,Dirbishi/Gandira,Adamawa,Mubi_South,
ward,dirma,Dirma,Dirma,Adamawa,Song,
ward,dogo_tebo,Dogo Tebo,Dogo Tebo,Yobe,Potiskum,
ward,dogoma,Dogoma,Dogoma,Borno,Kaga,
ward,dogon_nini,Dogon Nini,Dogon Nini,Yobe,Potiskum,
ward,dogoshi,Dogoshi,Dogoshi,Borno,Kukawa,
ward,dokshi,Dokshi,Dokshi,Yobe,Gulani,
ward,dole,Dole,Dole,Yobe,Machina,
ward,dong,Dong,Dong,Adamawa,Demsa,
ward,dongo,Dongo,Dongo,Borno,Kaga,
ward,doro,Doro,Doro,Borno,Kukawa,
ward,doubeli,Doubeli,Doubeli,Adamawa,Yola_North,
ward,dubwangun,Dubwangun,Dubwangun,Adamawa,Lamurde,
ward,dudduye,Dudduye,Dudduye,Yobe,Nangere,
ward,dugja,Dugja,Dugja,Borno,Biu,
ward,duhu,Duhu,Duhu,Adamawa,Madagali,
ward,duji,Duji,Duji,Borno,Mobbar,
ward,dukul,Dukul,Dukul,Adamawa,Guyuk,
ward,dumbari,Dumbari,Dumbari,Yobe,Jakusko,
ward,dumna,Dumna,Dumna,Adamawa,Guyuk,
ward,dumne,Dumne,Dumne,Adamawa,Song,
ward,dumsai,Dumsai,Dumsai,Yobe,Nguru,
ward,dusuma,Dusuma,Dusuma,Borno,Jere,
ward,duvu,Duvu,Duvu,Adamawa,Mubi_South,
ward,duwa,Duwa,Duwa,Adamawa,Gombi,
ward,dwam,Dwam,Dwam,Adamawa,Demsa,
ward,fai,Fai,Fai,Borno,Kaga,
ward,fajiganari,Fajiganari,Fajiganari,Yobe,Karasuwa,
ward,falimaram,Falimaram,Falimaram,Yobe,Machina,
ward,farang,Farang,Farang,Adamawa,Fufore,
ward,felo,Felo,Felo,Borno,Gubio,
ward,fezzan,Fezzan,Fezzan,Borno,Maiduguri,
ward,fika_anze,Fika Anze,Fika Anze,Yobe,Fika,
ward,fikhayel,Fikhayel,Fikhayel,Borno,Bayo,
ward,foguwa,Foguwa,Foguwa,Borno,Abadam,
ward,fufore,Fufore,Fufore,Adamawa,Fufore,
ward,fukurti,Fukurti,Fukurti,Yobe,Geidam,
ward,furram,Furram,Furram,Borno,Magumeri,
ward,futchimiram,Futchimiram,Futchimiram,Yobe,Geidam,
ward,futudou__futules,Futudou / Futules,Futudou / Futules,Adamawa,Michika,
ward,fuye,Fuye,Fuye,Borno,Ngala,
ward,gaanda,Gaanda,Gaanda,Adamawa,Gombi,
ward,gabai,Gabai,Gabai,Yobe,Gulani,
ward,gabon,Gabon,Gabon,Adamawa,Gombi,
ward,gadai,Gadai,Gadai,Borno,Nganzai,
ward,gadaka,Gadaka,Gadaka,Yobe,Fika,
ward,gagure,Gagure,Gagure,Yobe,Gulani,
ward,gajibo,Gajibo,Gajibo,Borno,Dikwa,
ward,gajigana,Gajigana,Gajigana,Borno,Magumeri,
ward,gajiram,Gajiram,Gajiram,Borno,Nganzai,
ward,galangi,Galangi,Galangi,Borno,Kaga,
ward,galdimari,Galdimari,Galdimari,Borno,Biu,
ward,galtimari,Galtimari,Galtimari,Borno,Jere,
ward,gamadadi,Gamadadi,Gamadadi,Borno,Bayo,
ward,gamadiyo,Gamadiyo,Gamadiyo,Adamawa,Numan,
ward,gamawu,Gamawu,Gamawu,Borno,Gubio,
ward,gambir_moduri,Gambir Moduri,Gambir Moduri,Yobe,Damaturu,
ward,gamboru,Gamboru,Gamboru,Borno,Maiduguri,
ward,gamboru_a,Gamboru A,Gamboru A,Borno,Ngala,
ward,gamboru_b,Gamboru B,Gamboru B,Borno,Ngala,
ward,gamboru_c,Gamboru C,Gamboru C,Borno,Ngala,
ward,gamu,Gamu,Gamu,Adamawa,Ganye,
ward,gang_fada,Gang Fada,Gang Fada,Adamawa,Mayo_Belwa,
ward,ganye_i,Ganye I,Ganye I,Adamawa,Ganye,
ward,ganye_ii,Ganye II,Ganye II,Adamawa,Ganye,
ward,garaha,Garaha,Garaha,Adamawa,Hong,
ward,garin_gawo,Garin Gawo,Garin Gawo,Yobe,Karasuwa,
ward,garin_tuwo,Garin Tuwo,Garin Tuwo,Yobe,Gulani,
ward,garkida,Garkida,Garkida,Adamawa,Gombi,
ward,garta__ghunchi,Garta / Ghunchi,Garta / Ghunchi,Adamawa,Michika,
ward,garu,Garu,Garu,Borno,Chibok,
ward,garubula,Garubula,Garubula,Borno,Biu,
ward,gashigar,Gashigar,Gashigar,Borno,Mobbar,
ward,gasi,Gasi,Gasi,Borno,Shani,
ward,gasma,Gasma,Gasma,Yobe,Karasuwa,
ward,gatamarwa,Gatamarwa,Gatamarwa,Borno,Chibok,
ward,gava_agapalawa,Gava Agapalawa,Gava Agapalawa,Borno,Gwoza,
ward,gawa,Gawa,Gawa,Borno,Mafa,
ward,gaya_sikalmi,Gaya-sikalmi,Gaya-sikalmi,Adamawa,Hong,
ward,gazabure,Gazabure,Gazabure,Borno,Gubio,
ward,gella,Gella,Gella,Adamawa,Mubi_South,
ward,gengle,Gengle,Gengle,Adamawa,Mayo_Belwa,
ward,gereng,Gereng,Gereng,Adamawa,Girei,
ward,gidgid_bayam,Gidgid Bayam,Gidgid Bayam,Yobe,Jakusko,
ward,girei_1,Girei 1,Girei 1,Adamawa,Girei,
ward,girei_2,Girei 2,Girei 2,Adamawa,Girei,
ward,goduram,Goduram,Goduram,Yobe,Tarmua,
ward,gomari,Gomari,Gomari,Borno,Jere,
ward,gombi_north,Gombi North,Gombi North,Adamawa,Gombi,
ward,gombi_south,Gombi South,Gombi South,Adamawa,Gombi,
ward,gongulong,Gongulong,Gongulong,Borno,Jere,
ward,goniri,Goniri,Goniri,Borno,Bama,
ward,gora,Gora,Gora,Borno,Shani,
ward,gorgoram,Gorgoram,Gorgoram,Yobe,Jakusko,
ward,gorobi,Gorobi,Gorobi,Adamawa,Mayo_Belwa,
ward,gotala,Gotala,Gotala,Yobe,Gujba,
ward,grim_damchoba,Grim Damchoba,Grim Damchoba,Borno,Hawul,
ward,guba_dapso,Guba Dapso,Guba Dapso,Yobe,Bursari,
ward,gubio_1,Gubio 1,Gubio 1,Borno,Gubio,
ward,gubio_2,Gubio 2,Gubio 2,Borno,Gubio,
ward,gude,Gude,Gude,Adamawa,Mubi_South,
ward,gudi_dozi,Gudi Dozi,Gudi Dozi,Yobe,Fika,
ward,gudu_mboi,Gudu Mboi,Gudu Mboi,Adamawa,Song,
ward,guduf_ab,Guduf A&B,Guduf A&B,Borno,Gwoza,
ward,gudumbali_east,Gudumbali East,Gudumbali East,Borno,Guzamala,
ward,gudumbali_west,Gudumbali West,Gudumbali West,Borno,Guzamala,
ward,gujba,Gujba,Gujba,Yobe,Gujba,
