type,name,label,,hint,hint::Hausa,required,choice_filter,appearance,relevant,constraint,constraint_message,repeat_count,calculation
start,start,,,,,,,,,,,,
end,end,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,
note,note1,#REACH Nigeria MSNA,#REACH Nigeria MSNA,,,,,,,,,,
text,enumerator,Name of enumerator,Sunan ma'aikaci,,,yes,,,,,,,
select_one state, state,State,Jiha,,,yes,,,,,,,
select_one LGA,LGA,LGA,Karamar hukuma,,,yes,state=${state},,,,,,
select_one ward,ward,Ward,Ward,,,yes,LGA=${LGA},,,,,,
select_one clusters,cluster,Which cluster is this location?,Wani lamba ne wannan wurin (cluster)?,,,yes,Ward=${ward},,,,,,
geopoint,geopoint,GPS Location,Menene GPS na nan,Make sure the GPS point is 4 meters accurate ,Tabbatar cewa ma'aunin GPS yana da mita 4 daidai,yes,,,,,,,
select_one accuracy,accuracy,Is the settlement where it was expected?,Shin wurin da aka sa ran shi?,,,yes,,,,,,,
select_one access,accessiblity,How were you able to access this settlement?,Yaya aka sami damar shiga wannan tsari?,,,yes,,,,,,,
text,accessibility_other,Please describe other,Bayyana wani daban,,,yes,,,${accessiblity}='97',,,,
select_one consent,key_informant_ok,"We are from REACH / NRC / PLAN / CRS / Malteser International, and we are conducting this assessment to understand the needs of people in the affected communities in the North-East of Nigeria. We share our results with humanitarian organizations so they can better plan and organize their responses. Today, we are visiting your community to do an assessment and to ask you a few questions about the populations residing it, environmental issues and access to services and key infrastructure. You will not receive anything for participating, and if you choose not to participate it will not affect your ability to receive humanitarian services. The interview will take about 15 minutes. Do you agree to participate?

[If Key informant is here and willing to participate, select YES. If Key informant is not here or is not willing to participate, select NO. Look for another key informant in the community.]",,,,yes,,,,,,,
begin_group,not_absent,,,,,yes,,,"selected(${key_informant_ok},""yes"")",,,,
text,key_informant,Name of key informant,Sunan mai sanarwa mai mahimmanci,,,yes,,,,,,,
select_one key_info,key_info,"Are you the bulama,camp leader or community leader?","Shin kai ne jagoran, jagoran sansanin ko jagoran gari?",can you speak on behalf of the community,za ku iya magana a madadin al'ummar,yes,,,,,,,
text,others_key_info,please specify,Bayyana daban din,If others please specify,Bayyana idan akwai,yes,,,"selected(${key_info}, ""others"")",,,,
text,phone_number,Phone Number,Lambar waya,,,,,,,,,,
text,sett_name,What is the name of this settlement?,Menene sunan wannan anguwan/garin?,,,yes,,,,,,,
integer,hh_tot,"What is the TOTAL number of households living in ${sett_name}, including IDPs, Non-displaced, and returnees?","Mene ne yawan gidaje dake zaune a gidan nan$ {sett_name}, ciki har da IDPs, wadanda ba gudun hijira ba, da kuma  wayanda su kayi hijira kuma suka dawo'yan gidan su?",,,yes,,,,,,,
begin_group,hh_counts,,,,,yes,,field-list,,,,,
integer,number_idp,What is the total number of IDP households?,Mene ne yawan mutanen gida na IDP?,,,yes,,,,,,,
integer,number_returnees,What is the total number of RETURNEE households?,Mene ne yawan mutanen gida na IDP?,,,yes,,,,,,,
integer,number_non_displaced,What is the total number of NON- DISPLACED households?,Mene ne yawan yawan iyalai marasa aiki?,,,yes,,,,,,,
end_group,hh_counts,,,,,,,,,,,,
