volume_ct,num_filled_ct,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
14,2,1,NGA_2019_MSNA_HouseholdSurvey_BAMA,6,62247552,53bcdd1b-b457-49a4-9980-7b2f4851535b,2019-07-19T17:24:03,
20,2,2,NGA_2019_MSNA_HouseholdSurvey_BAMA,6,62247552,53bcdd1b-b457-49a4-9980-7b2f4851535b,2019-07-19T17:24:03,
15,4,3,NGA_2019_MSNA_HouseholdSurvey_BAMA,9,62247563,9d4e8355-1d99-44a4-8fa1-576745551fa4,2019-07-19T17:24:10,
20,4,4,NGA_2019_MSNA_HouseholdSurvey_BAMA,9,62247563,9d4e8355-1d99-44a4-8fa1-576745551fa4,2019-07-19T17:24:10,
14,4,5,NGA_2019_MSNA_HouseholdSurvey_BAMA,9,62247563,9d4e8355-1d99-44a4-8fa1-576745551fa4,2019-07-19T17:24:10,
14,2,6,NGA_2019_MSNA_HouseholdSurvey_BAMA,10,62247567,a1d62c5c-0c28-4d87-8187-7aa57a6ab63b,2019-07-19T17:24:12,
25,3,7,NGA_2019_MSNA_HouseholdSurvey_BAMA,10,62247567,a1d62c5c-0c28-4d87-8187-7aa57a6ab63b,2019-07-19T17:24:12,
15,2,8,NGA_2019_MSNA_HouseholdSurvey_BAMA,10,62247567,a1d62c5c-0c28-4d87-8187-7aa57a6ab63b,2019-07-19T17:24:12,
20,4,9,NGA_2019_MSNA_HouseholdSurvey_BAMA,10,62247567,a1d62c5c-0c28-4d87-8187-7aa57a6ab63b,2019-07-19T17:24:12,
80,1,10,NGA_2019_MSNA_HouseholdSurvey_BAMA,10,62247567,a1d62c5c-0c28-4d87-8187-7aa57a6ab63b,2019-07-19T17:24:12,
20,5,11,NGA_2019_MSNA_HouseholdSurvey_BAMA,11,62250840,4e1f6204-9e6d-42f9-b5c9-ca6976260b7e,2019-07-19T17:54:14,
15,4,12,NGA_2019_MSNA_HouseholdSurvey_BAMA,12,62250905,a982203e-821e-4947-b913-85e66f0c7322,2019-07-19T17:55:00,
40,1,13,NGA_2019_MSNA_HouseholdSurvey_BAMA,12,62250905,a982203e-821e-4947-b913-85e66f0c7322,2019-07-19T17:55:00,
20,1,14,NGA_2019_MSNA_HouseholdSurvey_BAMA,12,62250905,a982203e-821e-4947-b913-85e66f0c7322,2019-07-19T17:55:00,
30,5,15,NGA_2019_MSNA_HouseholdSurvey_BAMA,13,62250912,d141b408-4736-4314-ab72-5fcdd260b313,2019-07-19T17:55:07,
20,5,16,NGA_2019_MSNA_HouseholdSurvey_BAMA,13,62250912,d141b408-4736-4314-ab72-5fcdd260b313,2019-07-19T17:55:07,
10,2,17,NGA_2019_MSNA_HouseholdSurvey_BAMA,13,62250912,d141b408-4736-4314-ab72-5fcdd260b313,2019-07-19T17:55:07,
15,1,18,NGA_2019_MSNA_HouseholdSurvey_BAMA,14,62250916,016a81af-a7cf-475a-a57f-3e23fc950da5,2019-07-19T17:55:16,
10,1,19,NGA_2019_MSNA_HouseholdSurvey_BAMA,14,62250916,016a81af-a7cf-475a-a57f-3e23fc950da5,2019-07-19T17:55:16,
20,8,20,NGA_2019_MSNA_HouseholdSurvey_BAMA,15,62250919,13cc9f9f-ad3e-4d19-84c1-02b30c42f92b,2019-07-19T17:55:26,
15,4,21,NGA_2019_MSNA_HouseholdSurvey_BAMA,15,62250919,13cc9f9f-ad3e-4d19-84c1-02b30c42f92b,2019-07-19T17:55:26,
20,5,22,NGA_2019_MSNA_HouseholdSurvey_BAMA,16,62250973,50d5d9a4-d8cf-46c5-94f4-a6daf6e25859,2019-07-19T17:56:45,
25,4,23,NGA_2019_MSNA_HouseholdSurvey_BAMA,16,62250973,50d5d9a4-d8cf-46c5-94f4-a6daf6e25859,2019-07-19T17:56:45,
20,5,24,NGA_2019_MSNA_HouseholdSurvey_BAMA,17,62251132,5f4b3a57-6a5f-4cc8-ae0b-14d12749f14b,2019-07-19T17:57:19,
5,5,25,NGA_2019_MSNA_HouseholdSurvey_BAMA,17,62251132,5f4b3a57-6a5f-4cc8-ae0b-14d12749f14b,2019-07-19T17:57:19,
20,6,26,NGA_2019_MSNA_HouseholdSurvey_BAMA,18,62251151,6145ddd8-d226-443f-90b2-a599dc22a950,2019-07-19T17:57:23,
25,3,27,NGA_2019_MSNA_HouseholdSurvey_BAMA,19,62251175,6282dc7b-587c-4b10-a746-d9ff37ca7753,2019-07-19T17:57:29,
15,3,28,NGA_2019_MSNA_HouseholdSurvey_BAMA,19,62251175,6282dc7b-587c-4b10-a746-d9ff37ca7753,2019-07-19T17:57:29,
20,6,29,NGA_2019_MSNA_HouseholdSurvey_BAMA,20,62251210,1260aaad-095d-4f42-8604-fee3b87339c1,2019-07-19T17:57:37,
15,3,30,NGA_2019_MSNA_HouseholdSurvey_BAMA,21,62251715,286ddd0b-ebbd-4fa3-a0d5-f24a3d02bda5,2019-07-19T18:02:38,
15,3,31,NGA_2019_MSNA_HouseholdSurvey_BAMA,21,62251715,286ddd0b-ebbd-4fa3-a0d5-f24a3d02bda5,2019-07-19T18:02:38,
15,3,32,NGA_2019_MSNA_HouseholdSurvey_BAMA,21,62251715,286ddd0b-ebbd-4fa3-a0d5-f24a3d02bda5,2019-07-19T18:02:38,
15,3,33,NGA_2019_MSNA_HouseholdSurvey_BAMA,21,62251715,286ddd0b-ebbd-4fa3-a0d5-f24a3d02bda5,2019-07-19T18:02:38,
30,1,34,NGA_2019_MSNA_HouseholdSurvey_BAMA,22,62251718,8812fb0e-4866-4feb-9abc-a3d6e84098c2,2019-07-19T18:02:40,
4,1,35,NGA_2019_MSNA_HouseholdSurvey_BAMA,22,62251718,8812fb0e-4866-4feb-9abc-a3d6e84098c2,2019-07-19T18:02:40,
4,1,36,NGA_2019_MSNA_HouseholdSurvey_BAMA,22,62251718,8812fb0e-4866-4feb-9abc-a3d6e84098c2,2019-07-19T18:02:40,
4,1,37,NGA_2019_MSNA_HouseholdSurvey_BAMA,22,62251718,8812fb0e-4866-4feb-9abc-a3d6e84098c2,2019-07-19T18:02:40,
30,1,38,NGA_2019_MSNA_HouseholdSurvey_BAMA,22,62251718,8812fb0e-4866-4feb-9abc-a3d6e84098c2,2019-07-19T18:02:40,
4,1,39,NGA_2019_MSNA_HouseholdSurvey_BAMA,22,62251718,8812fb0e-4866-4feb-9abc-a3d6e84098c2,2019-07-19T18:02:40,
30,2,43,NGA_2019_MSNA_HouseholdSurvey_BAMA,24,62251728,3ea8e9e2-616f-428c-8dbf-83f33dd55bcb,2019-07-19T18:02:44,
30,2,44,NGA_2019_MSNA_HouseholdSurvey_BAMA,24,62251728,3ea8e9e2-616f-428c-8dbf-83f33dd55bcb,2019-07-19T18:02:44,
15,2,45,NGA_2019_MSNA_HouseholdSurvey_BAMA,24,62251728,3ea8e9e2-616f-428c-8dbf-83f33dd55bcb,2019-07-19T18:02:44,
15,2,46,NGA_2019_MSNA_HouseholdSurvey_BAMA,24,62251728,3ea8e9e2-616f-428c-8dbf-83f33dd55bcb,2019-07-19T18:02:44,
20,3,47,NGA_2019_MSNA_HouseholdSurvey_BAMA,25,62251731,2b45cf51-d1cb-4e39-8a95-306b8b1bbd3f,2019-07-19T18:02:46,
20,3,48,NGA_2019_MSNA_HouseholdSurvey_BAMA,25,62251731,2b45cf51-d1cb-4e39-8a95-306b8b1bbd3f,2019-07-19T18:02:46,
15,3,49,NGA_2019_MSNA_HouseholdSurvey_BAMA,25,62251731,2b45cf51-d1cb-4e39-8a95-306b8b1bbd3f,2019-07-19T18:02:46,
4,3,50,NGA_2019_MSNA_HouseholdSurvey_BAMA,25,62251731,2b45cf51-d1cb-4e39-8a95-306b8b1bbd3f,2019-07-19T18:02:46,
20,6,51,NGA_2019_MSNA_HouseholdSurvey_BAMA,26,62251864,fcc67cc8-8e53-46b3-8d48-8523168cc932,2019-07-19T18:04:09,
20,2,52,NGA_2019_MSNA_HouseholdSurvey_BAMA,26,62251864,fcc67cc8-8e53-46b3-8d48-8523168cc932,2019-07-19T18:04:09,
20,1,53,NGA_2019_MSNA_HouseholdSurvey_BAMA,26,62251864,fcc67cc8-8e53-46b3-8d48-8523168cc932,2019-07-19T18:04:09,
20,1,54,NGA_2019_MSNA_HouseholdSurvey_BAMA,26,62251864,fcc67cc8-8e53-46b3-8d48-8523168cc932,2019-07-19T18:04:09,
20,3,55,NGA_2019_MSNA_HouseholdSurvey_BAMA,26,62251864,fcc67cc8-8e53-46b3-8d48-8523168cc932,2019-07-19T18:04:09,
20,2,56,NGA_2019_MSNA_HouseholdSurvey_BAMA,26,62251864,fcc67cc8-8e53-46b3-8d48-8523168cc932,2019-07-19T18:04:09,
20,5,57,NGA_2019_MSNA_HouseholdSurvey_BAMA,27,62251872,f488f7e5-bcef-4e6e-a350-efeea42b3344,2019-07-19T18:04:15,
20,5,58,NGA_2019_MSNA_HouseholdSurvey_BAMA,27,62251872,f488f7e5-bcef-4e6e-a350-efeea42b3344,2019-07-19T18:04:15,
20,5,59,NGA_2019_MSNA_HouseholdSurvey_BAMA,27,62251872,f488f7e5-bcef-4e6e-a350-efeea42b3344,2019-07-19T18:04:15,
20,5,60,NGA_2019_MSNA_HouseholdSurvey_BAMA,27,62251872,f488f7e5-bcef-4e6e-a350-efeea42b3344,2019-07-19T18:04:15,
20,5,61,NGA_2019_MSNA_HouseholdSurvey_BAMA,27,62251872,f488f7e5-bcef-4e6e-a350-efeea42b3344,2019-07-19T18:04:15,
15,1,62,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,63,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,64,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,65,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,66,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,67,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,68,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,69,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,70,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,71,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,72,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,73,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,74,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
15,1,75,NGA_2019_MSNA_HouseholdSurvey_BAMA,30,62251974,bfc19de3-b456-41f0-8e00-e041d87b9aee,2019-07-19T18:05:08,
