component_name,weight,condition
secu_incident_comp,0,!(is.na(security_type))
secu_incident_comp,1,"sm_selected(security_type, any=c(""physical_violence"" , ""fire"" ,""destruction_property""))"
secu_incident_comp,2,"sm_selected(security_type, any=c(""abduction_adult"" , ""abduction_children"" , ""armed_attack""))"
secu_incident_comp,3,"sm_selected(security_type, any=c(""killing"" ,""explosives"" ,""gbv""))"
documentation_comp,0,num_nodocs == 0 
documentation_comp,0.5,num_nodocs > 0
documentation_comp,1,birth_cert > 0
documentation_comp,1.5,num_nodocs & birth_cert > 0
eviction_comp,0,"!(eviction_threat %in% ""yes"") "
eviction_comp,0.5,"eviction_threat == ""yes"""
restriction_comp,0,!(is.na(move_restriction_yn))
restriction_comp,1,"move_restriction_yn %in% c(""restriction_night"" , ""restriction_large_group"" , ""restriction_2km"" ,""restriction_id"")"
restriction_comp,2,"move_restriction_yn == ""restriction_complete"""
exploitation_comp,0,"labour_exploitation %in% c(""none"" , ""98"" , ""99"")"
exploitation_comp,1,"!(labour_exploitation %in% c(""none"" , ""98"" , ""99""))"
missing_comp,0,"missing_detained_adult == ""no"" & missing_detained_child == ""no"" "
missing_comp,1,"missing_detained_adult == ""yes"""
missing_comp,2,"missing_detained_child == ""yes"""
missing_comp,3,"missing_detained_adult == ""yes"" & missing_detained_child == ""yes"""
psycho_distress_comp,0,!(is.na(mhpss_needs))
psycho_distress_comp,1,"mhpss_needs %>% strsplit("" "") %>% lapply(function(x){(x %in% c(""reduced_interest"", ""feeling_depressed"", ""feeling_tired"", ""trouble_sleeping"", ""nervousness"", ""afraid"",""angry"") %>% sum) > 1}) %>% unlist"
protection_index,1,(secu_incident_comp + documentation_comp + eviction_comp + restriction_comp + exploitation_comp + missing_comp + psycho_distress_comp) < 3
protection_index,2,(secu_incident_comp + documentation_comp + eviction_comp + restriction_comp + exploitation_comp + missing_comp + psycho_distress_comp) >= 3
protection_index,3,(secu_incident_comp + documentation_comp + eviction_comp + restriction_comp + exploitation_comp + missing_comp + psycho_distress_comp) >= 6
protection_index,4,(secu_incident_comp + documentation_comp + eviction_comp + restriction_comp + exploitation_comp + missing_comp + psycho_distress_comp) >= 9
current_attend_comp,1,(agegrp_3_18_sum == 0)| (children_out_formal / agegrp_3_18_sum)  >= 0
current_attend_comp,2,(children_out_formal / agegrp_3_18_sum)  > 0.3
current_attend_comp,3,(children_out_formal / agegrp_3_18_sum)  > 0.5
current_attend_comp,4,(children_out_formal / agegrp_3_18_sum)  > 0.7
current_attend_comp,5,(children_out_formal / agegrp_3_18_sum)  == 1
never_attend_comp,0,children_never_formal == 0 
never_attend_comp,2,children_never_formal > 0 
barrier_educ_comp,0,!(is.na(education_barrier_main))
barrier_educ_comp,1,"education_barrier_main %in%  c(""school_fees"", ""out_of_school_long"", ""cloth_uniform"" , ""helping_home"" , ""begging"" , ""farming"" , ""job_hawking"" , ""disability"" , ""school_nonfunctional"" , ""school_far"" , ""school_full"" , ""school_poor_quality"" , ""school_no_wash"" , ""lack_teachers"")"
barrier_educ_comp,2,"education_barrier_main %in% c(""against_formal_edu"" , ""displacement"" , ""insecurity_at_school"" , ""insecurity_on_the_way"" , ""armed_group_occupy"" , ""joined_armed_group"")"
barrier_girl_comp,0,"rep(T, length(education_barrier_girls)) "
barrier_girl_comp,1,"education_barrier_girls %in% c( ""marriage"" , ""pregnancy"" , ""menstrual cycle"")"
educ_nfi_comp,0,"rep(T, length(needs_items)) "
educ_nfi_comp,1,"needs_items == ""school_material"""
education_index,1,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) < 3
education_index,2,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) >= 3 
education_index,3,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) >= 7 
education_index,4,(current_attend_comp + never_attend_comp + barrier_educ_comp + barrier_girl_comp + educ_nfi_comp) >= 9
shelter_type_comp,0,!(is.na(type_shelter))
shelter_type_comp,1,"(type_shelter == ""transitional_shelter"" ) | (type_shelter == ""masonry_building"" & damage_status == ""yes"") | (type_shelter == ""traditional_house"" & damage_status == ""yes"")"
shelter_type_comp,2,"type_shelter %in% c(""makeshift"" , ""emergency_shelter"" , ""tent"")"
shelter_type_comp,3,"type_shelter %in% c(""public_building"" , ""open_space"")"
shelter_occup_comp,0,!(is.na(occupancy_status))
shelter_occup_comp,2,"occupancy_status == ""hosted_free""  | (occupancy_status == ""rented"" & damage_status == ""yes"")"
shelter_occup_comp,3,"occupancy_status %in% c(""squatted_w_permission"" , ""squatted_wo_permission"" , ""hosted_free_ext"")"
shelter_damage_comp,0,!(is.na(damage_status))
shelter_damage_comp,1,"damage_severity == ""no_little"""
shelter_damage_comp,2,"damage_severity == ""partially_damaged"""
shelter_damage_comp,3,"damage_severity == ""completely_destroyed"""
shelter_crowd_comp,0,number_families_share > 0
shelter_crowd_comp,3,number_families_share > 1
shelter_index,1,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) < 3
shelter_index,2,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) >= 3 
shelter_index,3,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) >= 6 
shelter_index,4,(shelter_type_comp + shelter_occup_comp + shelter_damage_comp + shelter_crowd_comp) >= 9
main_income_comp,0,!(is.na(main_income))
main_income_comp,2,"sm_selected(main_income, any = c(""no_income"" , ""remittance"" , ""begging""))"
debt_comp,0,!(is.na(hh_debt_yn))
debt_comp,1,"hh_debt_yn == ""yes"""
cash_access_comp,0,!(is.na(cash_access))
cash_access_comp,2,"cash_access == ""no_cash"""
bank_access_comp,0,!(is.na(bank))
bank_access_comp,1,"bank == ""no"""
waste_coverage_comp,0,!(is.na(waste_management))
waste_coverage_comp,1,"waste_management == ""no"""
mobile_access_comp,0,!(is.na(aid_access_phone))
mobile_access_comp,1,"aid_access_phone == ""no"""
mobile_access_comp,0.5,"aid_access_phone == ""yes"" & aid_access_internet == ""no"""
security_access_comp,0,!(is.na(access_gov))
security_access_comp,1,"access_gov %in% c(""police_yes"" , ""gov_yes"")"
security_access_comp,2,"access_gov == ""both_more_2km"""
earlyrecovery_index,1,(main_income_comp + debt_comp + cash_access_comp + bank_access_comp + waste_coverage_comp + mobile_access_comp + security_access_comp) < 3
earlyrecovery_index,2,(main_income_comp + debt_comp + cash_access_comp + bank_access_comp + waste_coverage_comp + mobile_access_comp + security_access_comp) >=3
earlyrecovery_index,3,(main_income_comp + debt_comp + cash_access_comp + bank_access_comp + waste_coverage_comp + mobile_access_comp + security_access_comp) >= 6
