type,name,label::English,label::Hausa,label::Kanuri,hint::English,hint::Hausa,hint::Kanuri,required,choice_filter,appearance,relevant,constraint,constraint_message::English,constraint_message::Hausa,constraint_message::Kanuri,repeat_count,calculation,default
start,start,,,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,,,
note,note1,#REACH Nigeria MSNA,,,,,,false,,,,,,,,,,
text,enum,What is the enumerator code/name?,Ya Sunan mai bincike ko lambar da aka bashi?,Ndu su ruwomabe?,,,,yes,,,,,,,,,,
select one gender,enum_female,What is the sex of the enumerator?,Shin ko wannan bincike ya hada har da mata masu bincike?,Safiyo ad?n kamu ruwoma mbeji wa?,"If YES, questions on breastfeeding and MHM will follow, if NO they will be skipped","Idan Eh ne, tambayoyi kan shayarwa da kuma tsafta yayin jinin haila za su biyo baya, idan kuma A'A ne a tsallake","Z?awud? AA-ro wollonoga, korowa k?la t?gam k?njo-a n?mng?la suro hailabe-a zaain, A'A-ro wollonoga fart? kot?",yes,,,,,,,,,,
select_one state,state,In what State is this survey taking place?,A wace jiha za'a gudanar da wannan bincike?,K?ryebin safiyod? sadin?,,,,yes,,minimal,,,,,,,,
select_one LGA,lga,In what LGA is this survey taking place?,kuma a wace karamar hukuma za a gudanar da shi?,Hukuma Ganabin safiyod? sadin?,,,,yes,State=${state},minimal,,,,,,,,
select_one ward,ward,In what ward is this survey taking place?,haka kuma a wace mazaba binciken zai gudana?,Ngurobin safiyod? sadin?,,,,yes,LGA=${lga},minimal,,,,,,,,
text,village,In what settlement is this survey taking place?,Ko a wane matsuguni za a gudanar da wannan bincike?,Lakkabin safiyod? sadin?,,,,yes,,,,,,,,,,
select_one clusters,cluster,What is the cluster ID for this location?,Mine ne matattarar wannan bincike,Abi lamba  ID-be nad?be?,Ask your Team Leader,A tambayi shugaban tawagarka,Fuwumando kore,yes,Ward=${ward},minimal,,,,,,,,
gps,gps,Take the GPS coordinates of this location (please wait to have a precision of less than 5 meters),A duba manhajar GPS (dan dakata domin samun takaitaccen mizanin da bai wuce mita 5 ba),Nad?be bayenz? GPS-be gone (Mart?g?ne jene kalkal murok mita 5 s?t?yiro waljiya duwo,,,,yes,,,,,,,,,,
select_one group,group,What is the intended group for this interview?,Wane rukunin mutane za'a yiwa wannan bincike?,Karapkabi koro nganzat??,,,,yes,,,,,,,,,,
select_one group_status,status_group,Which statement best describes your household's situation since 2009?,Wane bayani ne yafi dacewa da halin da gidaje ke ciki tun daga 2009?,Saa 2009-lan tai ared? kawuli ndaso k?ndga fatoribe kalkalro bayenzo?,"
For Returnees, only count them if they were displaced for greater than a week. 

If migratory community (such as Fulanis), their movement should not count as IDPs","Bangaren nan na wayen da su ka koma gidajen su,kirga su idan sun yi gudun hijira sama da sati guda.                  Idan masu kaura ne kamar (su Fulani) kada akirga su a matsayin yan gudun hijira",,yes,,,,,,,,,,
