list_name,name,label::English,label::Hausa,label::Kanuri,State,LGA,Ward,livecope,,,,
yncamp,yes,Yes,Eh,Aa,,,,,,,,
yncamp,no,No,A'a,A'a,,,,,,,,
yncamp,no_camp,HH does not live in formal camp,,,,,,,,,,
,,,,,,,,,,,,
yndk,yes,Yes,Eh,Aa,,,,,,,,
yndk,no,No,A'a,A'a,,,,,,,,
yndk,98,No response,Ba amsa,Jawau ba,,,,,,,,
yndk,99,Don't know,Ban sani ba,Not?nyi,,,,,,,,
,,,,,,,,,,,,
yn,yes,Yes,Eh,Aa,,,,,,,,
yn,no,No,A'a,A'a,,,,,,,,
,,,,,,,,,,,,
group,idp,Internally Displaced Persons (IDPs),1. 'Yan gudun hijira,1. Kam napt?ramz? kolz?na ,,,,,,,,
group,non_displaced,Non-displaced,2.Wadanda ba 'yan gudun hijira ba,2. Napt?ramz? kolz?yi ,,,,,,,,
group,returnee,Returnees,3. 'Yan gudun hijira da suka sake komawa garuruwan su,3. Walt?na,,,,,,,,
,,,,,,,,,,,,
group_status,idp,Household displaced since January 2009 and currently is not living in their village/area of origin,1. Mutane sun bar gidajen su tun watan Janairun 2019 kuma har yanzu ba su koma garuruwan su ba/yankinsu na asali,1. Fatori duwo suro Janwari 2009-lan napt?ram kollada kuru b?la d?yanza/nanza f?rt?nzan g?yi kasaru.,,,,,,,,
group_status,non_displaced,Household has never been displaced from their village/area of origin since January 2009,2. Babu wadanda aka raba da gidajen su/yankinsu na asali tun daga watan Janairun 2009,2. Saa Janwari 2009-lan tai areman  fatod? ngaltema b?la deyanza/nanza kolzayi. ,,,,,,,,
group_status,returnee,Household displaced since January 2009 but has since returned and currently is in their village/area of origin,"3. An samu 'yan gudun hijira da suka bar gidansu daga watan Janairun 2009, amma tun tuni sun koma garuruwan su/yankinsu na asali",3. Saa Janwari 2009-lan fatorid? napt?ramza kolzana amma waltana k?rma b?la deyanza/nanza f?rt?nzan kasaru. ,,,,,,,,
,,,,,,,,,,,,
gender,male,Male,Namiji,1. Kwa ,,,,,,,,
gender,female,Female,Mace,2. Kamu,,,,,,,,
,,,,,,,,,,,,
marital_status,single,Single,1. Ba Aure,i. K?la deya ,,,,,,,,
marital_status,married,Married,2. Akwai Aure,2. Nyiyaa ,,,,,,,,
marital_status,divorced,Divorced,3. Gwauro,3. Nyuya ba ,,,,,,,,
marital_status,widowed,Widowed,4. Bazawara,4.Kamba ,,,,,,,,
marital_status,98,No response,98.Ba amsa,Jawau ba,,,,,,,,
marital_status,99,Don't know,99. Ban sani ba,Not?nyi,,,,,,,,
,,,,,,,,,,,,
languages,bachama,Bachama,Bachma,Bachma,,,,,,,,
languages,bura,Bura,Bura,Bura,,,,,,,,
languages,english,English,English,English,,,,,,,,
languages,fulani,Fulani,Fulani,Fulani,,,,,,,,
languages,fulfulde,Fulfulde,Fulfulde,Fulfulde,,,,,,,,
languages,gamardu,Gamardu,Gamardu,Gamardu,,,,,,,,
languages,glavda,Glavda,Glavda,Glavda,,,,,,,,
languages,hausa,Hausa,Hausa,Hausa,,,,,,,,
languages,higgi,Higgi,Higgi,Higgi,,,,,,,,
languages,jukun,Jukun,Jukun,Jukun,,,,,,,,
languages,kanuri,Kanuri,Kanuri,Kanuri,,,,,,,,
languages,karekare,Kare Kare,Kare kare,Kare kare,,,,,,,,
languages,kiaku,Kibaku,Kibuku,Kibuku,,,,,,,,
languages,kilba,Kilba,Kilba,Kilba,,,,,,,,
languages,mafa,Mafa,Mafa,Mafa,,,,,,,,
languages,mandara,Mandara,Mandara,Mandara,,,,,,,,
languages,marghi,Marghi,Marghi,Marghi,,,,,,,,
languages,shuwaarabic,Shuwa Arabic / Chadian Arabic,Shuwa Arabic / Chadian Arabic,Shuwa Arabic / Chadian Arabic,,,,,,,,
languages,tiv,Tiv,Tiv,Tiv,,,,,,,,
languages,waha,Waha,Waha,Waha,,,,,,,,
languages,97,Other,Wani dalilin,Gade,,,,,,,,
,,,,,,,,,,,,
fluency,fluent,Fluently,1. Sosai,1. Taidaz?,,,,,,,,
fluency,well,Well,2. Daidai gwargwado,2. Ng?la,,,,,,,,
fluency,notwell,Not well,3. Ba sosai ba,3. Zau ro gana,,,,,,,,
fluency,notatall,Not at all,4. Ban ji ko kadan,4. T?mma ro fanyim ba,,,,,,,,
,,,,,,,,,,,,
network,airtel,Airtel,1. Airtel,1. Airtel,,,,,,,,
network,mtn,MTN,2. MTN,2. MTN,,,,,,,,
network,glo,Glo/Etisalat,3. Glo/Etisalat,3. Glo/Etisalat,,,,,,,,
network,97,Other,97. Wani daban,97. Lai gade,,,,,,,,
network,98,No response,98. Ba amsa,98. Jawau ba,,,,,,,,
network,99,Don't know,99. Ban sani ba,99. Not?nyi,,,,,,,,
,,,,,,,,,,,,
radio,yolafm,ABC Yola FM,ABC Yola FM,ABC Yola FM,,,,,,,,
radio,bc,BBC,BBC,BBC,,,,,,,,
radio,brtv,BRTV,BRTV,BRTV,,,,,,,,
