"","index","value","variable","has_issue","issue_type"
"1",5,225,"wpppd",TRUE,"normal distribution outlier"
"2",7,293.6,"wpppd",TRUE,"normal distribution outlier"
"3",8,250,"wpppd",TRUE,"normal distribution outlier"
"4",16,240,"wpppd",TRUE,"normal distribution outlier"
"5",26,314,"wpppd",TRUE,"normal distribution outlier"
"6",35,375,"wpppd",TRUE,"normal distribution outlier"
"7",36,517.5,"wpppd",TRUE,"normal distribution outlier"
"8",46,214,"wpppd",TRUE,"normal distribution outlier"
"9",49,860,"wpppd",TRUE,"normal distribution outlier"
"10",61,204.166666666667,"wpppd",TRUE,"normal distribution outlier"
"11",62,270.25,"wpppd",TRUE,"normal distribution outlier"
"12",67,192.5,"wpppd",TRUE,"normal distribution outlier"
"13",68,293.333333333333,"wpppd",TRUE,"normal distribution outlier"
"14",76,645,"wpppd",TRUE,"normal distribution outlier"
"15",84,390,"wpppd",TRUE,"normal distribution outlier"
"16",136,220,"wpppd",TRUE,"normal distribution outlier"
"17",138,173.333333333333,"wpppd",TRUE,"normal distribution outlier"
"18",142,560,"wpppd",TRUE,"normal distribution outlier"
"19",143,310,"wpppd",TRUE,"normal distribution outlier"
"20",149,172.5,"wpppd",TRUE,"normal distribution outlier"
"21",150,200,"wpppd",TRUE,"normal distribution outlier"
"22",158,240,"wpppd",TRUE,"normal distribution outlier"
"23",165,200,"wpppd",TRUE,"normal distribution outlier"
"24",177,186.666666666667,"wpppd",TRUE,"normal distribution outlier"
"25",178,321.25,"wpppd",TRUE,"normal distribution outlier"
"26",215,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"27",233,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"28",257,163.333333333333,"wpppd",TRUE,"normal distribution outlier"
"29",266,402.5,"wpppd",TRUE,"normal distribution outlier"
"30",300,170,"wpppd",TRUE,"normal distribution outlier"
"31",301,615,"wpppd",TRUE,"normal distribution outlier"
"32",302,532,"wpppd",TRUE,"normal distribution outlier"
"33",404,471,"wpppd",TRUE,"normal distribution outlier"
"34",405,200,"wpppd",TRUE,"normal distribution outlier"
"35",408,157,"wpppd",TRUE,"normal distribution outlier"
"36",418,300,"wpppd",TRUE,"normal distribution outlier"
"37",432,440,"wpppd",TRUE,"normal distribution outlier"
"38",440,340,"wpppd",TRUE,"normal distribution outlier"
"39",441,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"40",442,437.5,"wpppd",TRUE,"normal distribution outlier"
"41",444,791.666666666667,"wpppd",TRUE,"normal distribution outlier"
"42",488,240,"wpppd",TRUE,"normal distribution outlier"
"43",490,466.666666666667,"wpppd",TRUE,"normal distribution outlier"
"44",491,500,"wpppd",TRUE,"normal distribution outlier"
"45",599,200,"wpppd",TRUE,"normal distribution outlier"
"46",608,202.5,"wpppd",TRUE,"normal distribution outlier"
"47",666,181.818181818182,"wpppd",TRUE,"normal distribution outlier"
"48",739,256,"wpppd",TRUE,"normal distribution outlier"
"49",762,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"50",805,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"51",859,240,"wpppd",TRUE,"normal distribution outlier"
"52",866,160,"wpppd",TRUE,"normal distribution outlier"
"53",897,160,"wpppd",TRUE,"normal distribution outlier"
"54",916,200,"wpppd",TRUE,"normal distribution outlier"
"55",997,210,"wpppd",TRUE,"normal distribution outlier"
"56",1006,202.777777777778,"wpppd",TRUE,"normal distribution outlier"
"57",1039,556.5,"wpppd",TRUE,"normal distribution outlier"
"58",1088,182.5,"wpppd",TRUE,"normal distribution outlier"
"59",1113,240,"wpppd",TRUE,"normal distribution outlier"
"60",1117,280,"wpppd",TRUE,"normal distribution outlier"
"61",1218,160,"wpppd",TRUE,"normal distribution outlier"
"62",1279,216.666666666667,"wpppd",TRUE,"normal distribution outlier"
"63",1299,375,"wpppd",TRUE,"normal distribution outlier"
"64",1506,200,"wpppd",TRUE,"normal distribution outlier"
"65",1516,175,"wpppd",TRUE,"normal distribution outlier"
"66",1527,200,"wpppd",TRUE,"normal distribution outlier"
"67",1544,191.666666666667,"wpppd",TRUE,"normal distribution outlier"
"68",1558,160,"wpppd",TRUE,"normal distribution outlier"
"69",1606,216,"wpppd",TRUE,"normal distribution outlier"
"70",1607,155,"wpppd",TRUE,"normal distribution outlier"
"71",1617,200,"wpppd",TRUE,"normal distribution outlier"
"72",1647,375,"wpppd",TRUE,"normal distribution outlier"
"73",1717,200,"wpppd",TRUE,"normal distribution outlier"
"74",1721,165,"wpppd",TRUE,"normal distribution outlier"
"75",1747,240,"wpppd",TRUE,"normal distribution outlier"
"76",1769,232.5,"wpppd",TRUE,"normal distribution outlier"
"77",1790,225,"wpppd",TRUE,"normal distribution outlier"
"78",1909,800,"wpppd",TRUE,"normal distribution outlier"
"79",1914,290,"wpppd",TRUE,"normal distribution outlier"
"80",1959,266.666666666667,"wpppd",TRUE,"normal distribution outlier"
"81",1970,509,"wpppd",TRUE,"normal distribution outlier"
"82",1971,300,"wpppd",TRUE,"normal distribution outlier"
"83",1973,292.222222222222,"wpppd",TRUE,"normal distribution outlier"
"84",1974,331.6,"wpppd",TRUE,"normal distribution outlier"
"85",2040,250,"wpppd",TRUE,"normal distribution outlier"
"86",2049,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"87",2067,405,"wpppd",TRUE,"normal distribution outlier"
"88",2107,280,"wpppd",TRUE,"normal distribution outlier"
"89",2145,195,"wpppd",TRUE,"normal distribution outlier"
"90",2146,280,"wpppd",TRUE,"normal distribution outlier"
"91",2190,285.714285714286,"wpppd",TRUE,"normal distribution outlier"
"92",2200,450,"wpppd",TRUE,"normal distribution outlier"
"93",2206,160,"wpppd",TRUE,"normal distribution outlier"
"94",2237,166.666666666667,"wpppd",TRUE,"normal distribution outlier"
"95",2239,250,"wpppd",TRUE,"normal distribution outlier"
"96",2244,232.5,"wpppd",TRUE,"normal distribution outlier"
"97",2287,160,"wpppd",TRUE,"normal distribution outlier"
"98",2353,255,"wpppd",TRUE,"normal distribution outlier"
"99",2399,250,"wpppd",TRUE,"normal distribution outlier"
"100",2434,200,"wpppd",TRUE,"normal distribution outlier"
"101",2458,200,"wpppd",TRUE,"normal distribution outlier"
"102",2470,240,"wpppd",TRUE,"normal distribution outlier"
