"","access_uxo_comp","access_route_comp","people_displacement_comp","people_restriction_comp","services_facilities_comp","services_comms_comp","access_assistance_comp","impact_index","lga"
"1",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"2",1.5,1.5,0,0,0,1,0,2,"NG002008"
"3",1.5,1.5,0,0,0,1,0,2,"NG002008"
"4",1.5,1.5,0,0,0,1,0,2,"NG002008"
"5",1.5,1.5,0,0,0,1,0,2,"NG002008"
"6",1.5,1.5,0,0,0,1,0,2,"NG002008"
"7",1.5,1.5,0,0,0,1,0,2,"NG002008"
"8",1.5,1.5,0,0,0,1,0,2,"NG002008"
"9",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"10",1.5,1.5,0,0,0,0,0,2,"NG002008"
"11",1.5,1.5,0,0,0,1,0,2,"NG002008"
"12",1.5,1.5,0,1.5,0,0,0,2,"NG002008"
"13",1.5,1.5,0,0,0,1,0,2,"NG002008"
"14",1.5,1.5,0,0,0,1,0,2,"NG002008"
"15",1.5,1.5,0,0,0,1,0,2,"NG002008"
"16",1.5,1.5,0,0,0,1,0,2,"NG002008"
"17",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"18",1.5,1.5,0,0,0,1,0,2,"NG002008"
"19",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"20",1.5,1.5,0,0,0,1,0,2,"NG002008"
"21",1.5,1.5,0,0,0,1,0,2,"NG002008"
"22",1.5,1.5,0,0,0,0,0,2,"NG002008"
"23",1.5,1.5,0,0,0,1,0,2,"NG002008"
"24",1.5,1.5,0,0,0,1,0,2,"NG002008"
"25",1.5,1.5,0,0,0,1,0,2,"NG002008"
"26",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"27",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"28",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"29",1.5,1.5,0,0,0,1,0,2,"NG002008"
"30",1.5,1.5,0,0,0,1,0,2,"NG002008"
"31",1.5,1.5,0,0,0,1,0,2,"NG002008"
"32",1.5,1.5,0,0,0,1,0,2,"NG002008"
"33",1.5,1.5,0,0,0,1,0,2,"NG002008"
"34",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"35",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"36",1.5,1.5,0,0,0,1,0,2,"NG002008"
"37",1.5,1.5,0,0,0,0,0,2,"NG002008"
"38",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"39",1.5,1.5,0,0,0,1,0,2,"NG002008"
"40",1.5,1.5,0,1.5,0,0,0,2,"NG002008"
"41",1.5,1.5,0,0,0,1,0,2,"NG002008"
"42",1.5,1.5,0,0,0,0,0,2,"NG002008"
"43",1.5,1.5,0,0,0,1,0,2,"NG002008"
"44",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"45",1.5,1.5,0,0,0,1,0,2,"NG002008"
"46",1.5,1.5,0,0,0,1,0,2,"NG002008"
"47",1.5,1.5,0,0,0,0,0,2,"NG002008"
"48",1.5,1.5,0,0,0,1,0,2,"NG002008"
"49",1.5,1.5,0,0,0,1,0,2,"NG002008"
"50",1.5,1.5,0,0,0,1,0,2,"NG002008"
"51",1.5,1.5,0,0,0,1,0,2,"NG002008"
"52",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"53",1.5,1.5,0,0,0,1,0,2,"NG002008"
"54",1.5,1.5,0,0,0,1,0,2,"NG002008"
"55",1.5,1.5,0,0,0,1,0,2,"NG002008"
"56",1.5,1.5,0,0,0,1,0,2,"NG002008"
"57",1.5,1.5,0,1.5,0,0,0,2,"NG002008"
"58",1.5,1.5,0,0,0,1,0,2,"NG002008"
"59",1.5,1.5,0,0,0,1,0,2,"NG002008"
"60",1.5,1.5,0,0,0,1,0,2,"NG002008"
"61",1.5,1.5,0,0,0,1,0,2,"NG002008"
"62",1.5,1.5,0,0,0,1,0,2,"NG002008"
"63",1.5,1.5,0,0,0,1,0,2,"NG002008"
"64",1.5,1.5,0,0,0,1,0,2,"NG002008"
"65",1.5,1.5,0,0,0,1,0,2,"NG002008"
"66",1.5,1.5,0,1.5,0,0,0,2,"NG002008"
"67",1.5,1.5,0,0,0,1,0,2,"NG002008"
"68",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"69",1.5,1.5,0,0,0,0,0,2,"NG002008"
"70",1.5,1.5,0,0,0,1,0,2,"NG002008"
"71",1.5,1.5,0,0,0,0,0,2,"NG002008"
"72",1.5,1.5,0,0,0,1,0,2,"NG002008"
"73",1.5,1.5,0,0,0,0,0,2,"NG002008"
"74",1.5,1.5,0,0,0,1,0,2,"NG002008"
"75",1.5,1.5,0,0,0,0,0,2,"NG002008"
"76",1.5,1.5,0,0,0,1,0,2,"NG002008"
"77",1.5,1.5,0,0,0,1,0,2,"NG002008"
"78",1.5,1.5,0,0,0,1,0,2,"NG002008"
"79",1.5,1.5,0,0,0,1,0,2,"NG002008"
"80",1.5,1.5,0,0,0,1,0,2,"NG002008"
"81",1.5,1.5,0,0,0,1,0,2,"NG002008"
"82",1.5,1.5,0,0,0,1,0,2,"NG002008"
"83",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"84",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"85",1.5,1.5,0,0,0,1,0,2,"NG002008"
"86",1.5,1.5,0,0,0,1,0,2,"NG002008"
"87",1.5,1.5,0,0,0,1,0,2,"NG002008"
"88",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"89",1.5,1.5,0,0,0,1,0,2,"NG002008"
"90",1.5,1.5,0,0,0,1,0,2,"NG002008"
"91",1.5,1.5,0,0,0,1,0,2,"NG002008"
"92",1.5,1.5,0,0,0,1,0,2,"NG002008"
"93",1.5,1.5,0,0,0,1,0,2,"NG002008"
"94",1.5,1.5,0,0,0,0,0,2,"NG002008"
"95",1.5,1.5,0,0,0,1,0,2,"NG002008"
"96",1.5,1.5,0,0,0,1,0,2,"NG002008"
"97",1.5,1.5,0,0,0,1,0,2,"NG002008"
"98",1.5,1.5,0,1.5,0,0,0,2,"NG002008"
"99",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"100",1.5,1.5,0,0,0,1,0,2,"NG002008"
"101",1.5,1.5,0,0,0,1,0,2,"NG002008"
"102",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"103",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"104",1.5,1.5,0,0,0,1,0,2,"NG002008"
"105",1.5,1.5,0,0,0,1,0,2,"NG002008"
"106",1.5,1.5,0,0,0,1,0,2,"NG002008"
"107",1.5,1.5,0,0,0,1,0,2,"NG002008"
"108",1.5,1.5,0,0,0,1,0,2,"NG002008"
"109",1.5,1.5,0,0,0,1,0,2,"NG002008"
"110",1.5,1.5,0,0,0,1,0,2,"NG002008"
"111",1.5,1.5,0,0,0,1,0,2,"NG002008"
"112",1.5,1.5,0,0,0,1,0,2,"NG002008"
"113",1.5,1.5,0,0,0,1,0,2,"NG002008"
"114",1.5,1.5,0,0,0,1,0,2,"NG002008"
"115",1.5,1.5,0,0,0,1,0,2,"NG002008"
"116",1.5,1.5,0,0,0,1,0,2,"NG002008"
"117",1.5,1.5,0,0,0,1,0,2,"NG002008"
"118",1.5,1.5,0,0,0,1,0,2,"NG002008"
"119",1.5,1.5,0,0,0,1,0,2,"NG002008"
"120",1.5,1.5,0,0,0,1,0,2,"NG002008"
"121",1.5,1.5,0,0,0,1,0,2,"NG002008"
"122",1.5,1.5,0,0,0,1,0,2,"NG002008"
"123",1.5,1.5,0,0,0,1,0,2,"NG002008"
"124",1.5,1.5,0,0,0,1,0,2,"NG002008"
"125",1.5,1.5,0,0,0,1,0,2,"NG002008"
"126",1.5,1.5,0,0,0,1,0,2,"NG002008"
"127",1.5,1.5,0,0,0,1,0,2,"NG002008"
"128",1.5,1.5,0,0,0,1,0,2,"NG002008"
"129",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
"130",1.5,1.5,0,0,0,1,0,2,"NG002008"
"131",1.5,1.5,0,0,0,1,0,2,"NG002008"
"132",1.5,1.5,0,0,0,1,0,2,"NG002008"
"133",1.5,1.5,0,1.5,0,1,0,2,"NG002008"
