,dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max,repeat.var,repeat.var.value,p.value,test.name
1,coping_gap_index,NA,1,NA,0.194444444,NA,0.129577179,0.25931171,lga,NG036002,NA,no hypothesis test on case 'Direct reporting'
2,coping_gap_index,NA,2,NA,0.375,NA,0.295652049,0.454347951,lga,NG036002,NA,no hypothesis test on case 'Direct reporting'
3,coping_gap_index,NA,3,NA,0.347222222,NA,0.269191341,0.425253103,lga,NG036002,NA,no hypothesis test on case 'Direct reporting'
4,coping_gap_index,NA,4,NA,0.083333333,NA,0.03803365,0.128633017,lga,NG036002,NA,no hypothesis test on case 'Direct reporting'
5,coping_gap_index,NA,1,NA,0.287553648,NA,0.2293112,0.345796096,lga,NG008025,NA,no hypothesis test on case 'Direct reporting'
6,coping_gap_index,NA,2,NA,0.394849785,NA,0.33194964,0.457749931,lga,NG008025,NA,no hypothesis test on case 'Direct reporting'
7,coping_gap_index,NA,3,NA,0.266094421,NA,0.209229809,0.322959032,lga,NG008025,NA,no hypothesis test on case 'Direct reporting'
8,coping_gap_index,NA,4,NA,0.051502146,NA,0.023061796,0.079942496,lga,NG008025,NA,no hypothesis test on case 'Direct reporting'
9,coping_gap_index,NA,1,NA,0.168888889,NA,0.119825882,0.217951896,lga,NG008019,NA,no hypothesis test on case 'Direct reporting'
10,coping_gap_index,NA,2,NA,0.306666667,NA,0.246281759,0.367051575,lga,NG008019,NA,no hypothesis test on case 'Direct reporting'
11,coping_gap_index,NA,3,NA,0.462222222,NA,0.396931583,0.527512861,lga,NG008019,NA,no hypothesis test on case 'Direct reporting'
12,coping_gap_index,NA,4,NA,0.062222222,NA,0.030588754,0.09385569,lga,NG008019,NA,no hypothesis test on case 'Direct reporting'
13,coping_gap_index,NA,1,NA,0.360294118,NA,0.279309979,0.441278256,lga,NG036003,NA,no hypothesis test on case 'Direct reporting'
14,coping_gap_index,NA,2,NA,0.294117647,NA,0.217256314,0.37097898,lga,NG036003,NA,no hypothesis test on case 'Direct reporting'
