"","access_uxo_comp","access_route_comp","people_displacement_comp","people_restriction_comp","services_facilities_comp","services_comms_comp","access_assistance_comp","impact_index"
"1",0,0,0,0,0,1,0,1
"2",0,0,3,1.5,0,1,0,2
"3",0,0,3,1.5,1.5,1,0,3
"4",0,0,0,0,1.5,0,0,1
"5",0,0,0,0,0,0,0,1
"6",0,0,0,1.5,0,0,0,1
"7",0,0,0,0,0,1,0,1
"8",0,0,0,0,0,1,0,1
"9",0,0,1.5,1.5,1.5,1,0,2
"10",0,0,0,0,0,1,0,1
"11",0,0,0,0,0,0,0,1
"12",0,0,0,1.5,1.5,1,0,2
"13",0,0,1.5,1.5,1.5,1,0,2
"14",1.5,1.5,0,0,0,0,0,2
"15",0,0,0,1.5,0,1,0,1
"16",0,0,0,0,0,0,0,1
"17",0,0,0,0,0,1,0,1
"18",0,0,0,0,0,1,0,1
"19",1.5,1.5,0,0,0,1,0,2
"20",1.5,1.5,0,0,0,1,0,2
"21",0,0,0,1.5,0,1,0,1
"22",0,0,0,1.5,0,1,0,1
"23",0,0,0,0,0,1,0,1
"24",0,0,3,1.5,0,1,0,2
"25",1.5,0,0,0,0,1,0,1
"26",0,0,3,1.5,1.5,1,0,3
"27",0,0,3,0,0,1,0,2
"28",0,0,0,0,0,1,0,1
"29",0,0,3,0,1.5,1,0,2
"30",0,0,3,1.5,0,1,2,3
"31",0,0,3,1.5,0,1,0,2
"32",0,0,0,0,0,1,0,1
"33",0,0,0,0,0,1,0,1
"34",0,0,3,1.5,0,1,0,2
"35",0,0,0,0,0,1,0,1
"36",0,0,0,0,0,1,0,1
"37",1.5,0,0,0,0,0,0,1
"38",0,0,0,0,0,1,2,2
"39",0,0,0,0,1.5,0,0,1
"40",0,0,0,0,0,1,0,1
"41",0,0,0,0,0,0,0,1
"42",0,0,0,1.5,0,0,0,1
"43",0,0,3,1.5,0,1,0,2
"44",1.5,1.5,0,0,0,1,0,2
"45",0,0,0,0,1.5,1,0,1
"46",1.5,0,0,0,0,1,0,1
"47",0,0,0,0,0,1,0,1
"48",0,0,0,1.5,0,0,0,1
"49",0,0,3,1.5,1.5,1,0,3
"50",0,0,0,0,0,1,0,1
"51",1.5,0,0,1.5,0,1,0,2
"52",0,0,0,0,0,1,0,1
"53",0,0,0,1.5,0,1,0,1
"54",0,0,0,1.5,0,1,0,1
"55",1.5,1.5,0,0,0,1,0,2
"56",1.5,1.5,0,0,0,1,0,2
"57",0,0,0,1.5,0,1,0,1
"58",0,0,0,0,0,1,0,1
"59",1.5,0,0,1.5,1.5,1,0,2
"60",0,0,0,1.5,1.5,1,0,2
"61",0,0,0,1.5,0,1,0,1
"62",0,0,0,0,0,1,0,1
"63",0,0,0,0,0,0,0,1
"64",0,0,0,1.5,0,0,0,1
"65",1.5,0,0,0,0,1,0,1
"66",0,0,3,1.5,0,1,0,2
"67",0,0,0,0,0,1,0,1
"68",0,0,0,0,0,1,0,1
"69",0,0,0,0,0,1,0,1
"70",0,0,3,0,0,1,0,2
"71",0,0,0,0,0,1,0,1
"72",1.5,0,0,1.5,0,1,0,2
"73",1.5,0,0,0,0,1,0,1
"74",0,0,0,0,0,0,0,1
"75",0,0,0,0,0,1,0,1
"76",1.5,0,0,0,0,1,0,1
"77",0,0,1.5,0,0,1,0,1
"78",0,0,0,1.5,0,1,0,1
"79",1.5,0,1.5,0,0,1,0,2
"80",1.5,0,0,0,0,1,0,1
"81",1.5,0,0,1.5,1.5,1,0,2
"82",0,0,0,1.5,1.5,0,0,2
"83",0,0,0,0,0,1,0,1
"84",0,0,3,1.5,1.5,1,0,3
"85",1.5,0,0,0,0,1,2,2
"86",0,0,0,0,0,1,0,1
"87",0,0,0,0,0,0,0,1
"88",0,0,0,1.5,0,1,0,1
"89",0,0,0,1.5,0,1,0,1
"90",1.5,0,0,1.5,0,1,0,2
"91",1.5,0,0,0,0,1,0,1
"92",0,0,0,0,0,1,0,1
"93",0,0,0,0,0,1,0,1
"94",0,0,0,1.5,1.5,0,0,2
"95",0,0,0,0,0,1,0,1
"96",0,0,0,1.5,0,0,0,1
"97",0,0,0,1.5,0,1,0,1
"98",0,0,0,0,0,1,0,1
"99",0,0,1.5,1.5,1.5,1,0,2
"100",0,0,0,0,0,1,0,1
"101",0,0,0,1.5,0,1,0,1
"102",0,0,0,0,0,1,0,1
"103",0,0,3,0,0,1,0,2
"104",0,0,0,1.5,0,1,0,1
"105",0,0,0,1.5,0,1,0,1
"106",1.5,0,0,0,0,1,0,1
"107",0,0,0,1.5,0,1,0,1
"108",0,0,0,0,0,1,0,1
"109",0,0,3,1.5,0,1,0,2
"110",0,0,0,1.5,0,1,0,1
"111",0,0,3,1.5,0,1,0,2
"112",0,0,3,0,0,1,0,2
"113",0,0,0,0,0,0,0,1
"114",0,0,0,0,0,1,0,1
"115",1.5,0,0,1.5,0,1,0,2
"116",0,0,0,1.5,1.5,1,0,2
"117",0,0,0,0,0,1,0,1
"118",0,0,0,1.5,0,0,0,1
"119",1.5,0,1.5,0,0,1,0,2
"120",0,0,0,1.5,0,1,0,1
"121",0,0,3,1.5,0,1,0,2
"122",0,0,0,1.5,0,0,0,1
"123",1.5,1.5,0,1.5,0,1,0,2
"124",1.5,0,0,0,0,0,0,1
"125",0,0,0,1.5,0,0,0,1
"126",1.5,0,0,0,0,1,0,1
"127",1.5,0,0,0,1.5,1,0,2
"128",0,0,0,1.5,0,1,0,1
"129",0,0,0,0,0,1,0,1
"130",0,0,0,1.5,0,1,0,1
"131",0,0,0,1.5,0,1,0,1
"132",0,0,0,1.5,1.5,1,0,2
"133",1.5,0,0,0,0,1,0,1
"134",1.5,0,0,0,0,1,0,1
"135",0,0,0,1.5,1.5,1,0,2
"136",0,0,0,0,0,1,0,1
"137",0,0,1.5,1.5,1.5,1,0,2
"138",0,0,0,0,0,1,0,1
"139",0,0,3,0,0,1,0,2
"140",0,0,0,0,0,1,0,1
"141",0,0,0,0,0,1,2,2
"142",1.5,0,0,0,0,1,0,1
"143",1.5,0,0,0,0,1,0,1
"144",0,0,0,0,1.5,1,0,1
"145",0,0,0,0,0,1,0,1
"146",0,0,0,1.5,0,1,0,1
"147",1.5,0,0,1.5,0,1,0,2
"148",0,0,0,1.5,0,1,0,1
"149",0,0,0,0,0,1,0,1
"150",0,0,0,0,0,1,0,1
"151",1.5,0,0,0,0,1,0,1
"152",0,0,3,0,1.5,1,0,2
"153",0,0,0,0,0,0,0,1
"154",0,0,0,0,0,1,0,1
"155",0,0,0,0,0,1,0,1
"156",0,0,0,1.5,0,1,0,1
"157",1.5,0,0,0,0,1,0,1
"158",0,0,1.5,1.5,0,1,0,2
"159",1.5,0,0,0,0,1,0,1
"160",0,0,3,0,0,1,0,2
"161",0,0,0,1.5,0,1,0,1
"162",1.5,0,0,0,0,1,0,1
"163",1.5,0,0,0,0,1,0,1
"164",0,0,0,0,0,1,0,1
"165",1.5,0,0,0,0,1,0,1
"166",0,0,0,0,0,1,0,1
"167",1.5,1.5,0,0,0,1,0,2
"168",0,0,0,1.5,0,0,0,1
"169",1.5,0,0,1.5,1.5,1,0,2
"170",0,0,0,0,0,0,0,1
"171",0,0,0,0,0,1,0,1
"172",1.5,0,0,0,1.5,1,0,2
"173",1.5,0,0,0,0,1,0,1
"174",1.5,1.5,0,1.5,0,0,0,2
"175",0,0,0,1.5,1.5,1,0,2
"176",1.5,1.5,0,0,0,1,0,2
"177",0,0,0,0,0,1,0,1
"178",0,0,0,0,0,1,0,1
"179",1.5,0,0,0,0,1,0,1
"180",0,0,0,0,0,1,0,1
"181",0,0,0,0,0,1,0,1
"182",0,0,0,0,0,1,0,1
"183",1.5,0,0,0,0,1,0,1
"184",0,0,0,0,0,1,0,1
"185",1.5,0,3,0,0,1,0,2
"186",0,0,3,0,0,1,0,2
"187",1.5,0,0,0,0,1,0,1
"188",0,0,0,1.5,1.5,1,0,2
"189",0,0,0,1.5,1.5,0,0,2
"190",0,0,0,1.5,0,0,0,1
"191",0,0,0,0,0,1,0,1
"192",1.5,0,0,1.5,1.5,1,0,2
"193",0,0,0,0,1.5,1,0,1
"194",0,0,0,0,1.5,1,0,1
"195",0,0,0,0,1.5,1,0,1
"196",1.5,0,0,0,0,1,0,1
"197",0,0,0,0,0,1,0,1
"198",0,0,1.5,1.5,0,1,0,2
"199",1.5,0,0,0,0,1,2,2
"200",0,0,0,0,0,1,0,1
"201",1.5,0,0,0,0,1,0,1
"202",0,0,0,1.5,0,1,0,1
"203",0,0,0,1.5,0,1,0,1
"204",0,0,0,0,0,1,0,1
"205",0,0,0,1.5,0,1,0,1
"206",0,0,3,1.5,0,1,0,2
"207",1.5,0,1.5,0,0,1,0,2
"208",0,0,0,0,0,0,0,1
"209",0,0,3,0,0,1,0,2
"210",0,0,0,1.5,0,1,0,1
"211",0,0,3,1.5,0,1,0,2
"212",1.5,0,0,0,0,1,0,1
"213",0,0,0,0,0,1,0,1
"214",1.5,0,0,0,0,1,0,1
"215",1.5,0,0,0,0,1,2,2
"216",1.5,1.5,0,0,0,1,0,2
"217",0,0,3,1.5,0,1,0,2
"218",1.5,0,0,0,0,1,0,1
"219",0,0,0,0,0,1,0,1
"220",1.5,0,0,0,0,1,0,1
"221",0,0,0,0,0,1,0,1
"222",0,0,0,0,0,1,0,1
"223",1.5,1.5,0,0,0,1,0,2
"224",0,0,3,1.5,1.5,1,0,3
"225",0,0,0,0,0,0,0,1
"226",0,0,0,0,0,0,0,1
"227",0,0,0,1.5,1.5,1,0,2
"228",0,0,3,1.5,0,1,0,2
"229",0,0,0,0,0,1,0,1
"230",0,0,0,0,0,1,0,1
"231",1.5,0,0,0,0,1,0,1
"232",0,0,0,1.5,1.5,1,0,2
"233",0,0,0,1.5,0,1,0,1
"234",1.5,0,0,0,0,1,0,1
"235",1.5,0,0,1.5,1.5,0,0,2
"236",1.5,0,0,0,0,0,0,1
"237",0,0,0,0,0,1,0,1
"238",0,0,1.5,1.5,0,1,0,2
"239",0,0,3,1.5,0,1,0,2
"240",0,0,0,0,0,1,0,1
"241",0,0,1.5,1.5,0,1,0,2
"242",0,0,0,0,0,1,0,1
"243",1.5,0,0,1.5,1.5,1,0,2
"244",0,0,0,0,0,1,0,1
"245",1.5,0,0,0,0,1,0,1
"246",0,0,3,1.5,0,1,0,2
"247",0,0,0,1.5,1.5,1,0,2
"248",0,0,0,1.5,1.5,1,0,2
"249",0,0,0,0,1.5,0,0,1
"250",0,0,0,0,0,1,0,1
