"","secu_incident_comp","documentation_comp","eviction_comp","restriction_comp","exploitation_comp","missing_comp","psycho_distress_comp","protection_index"
"1",0,0,0,0,0,0,0,1
"2",0,0,0,1,0,0,0,1
"3",0,0,0,1,0,0,0,1
"4",0,NA,0,0,1,NA,0,NA
"5",0,0,0,0,1,0,0,1
"6",0,0,0,1,0,0,0,1
"7",2,1,0,0,0,1,0,2
"8",0,0,0,0,0,0,0,1
"9",3,1,0,1,1,3,0,4
"10",0,1.5,0,0,0,0,0,1
"11",0,0,0,0,0,0,0,1
"12",0,1,0,1,0,0,0,1
"13",1,0.5,0.5,2,1,1,1,3
"14",0,0,0,0,0,0,0,1
"15",0,0,0,1,0,0,0,1
"16",0,1.5,0,0,0,0,0,1
"17",0,0.5,0,0,0,0,0,1
"18",0,1.5,0,0,0,0,0,1
"19",0,0.5,0,0,0,0,0,1
"20",0,0,0,0,0,0,0,1
"21",0,1.5,0,1,0,0,1,2
"22",0,0,0,1,0,0,1,1
"23",0,0,0,0,0,0,0,1
"24",0,1.5,0,1,1,0,1,2
"25",0,0,0,0,0,0,0,1
"26",2,0.5,0,1,0,1,0,2
"27",0,1.5,0,0,0,0,0,1
"28",0,1,0,0,0,0,0,1
"29",0,0.5,0,0,0,0,0,1
"30",0,0.5,0,1,0,0,0,1
"31",3,1.5,0,1,0,3,0,3
"32",0,0,0,0,0,0,0,1
"33",0,1,0,0,0,0,1,1
"34",0,0,0.5,1,1,0,0,1
"35",0,0,0,0,0,0,0,1
"36",0,1.5,0,0,0,0,1,1
"37",0,0,0,0,0,0,0,1
"38",0,1.5,0,0,0,0,0,1
"39",0,1.5,0,0,0,0,0,1
"40",0,0.5,0,0,0,0,0,1
"41",0,0,0,0,0,0,0,1
"42",0,0,0,1,0,0,0,1
"43",0,1,0,1,0,0,0,1
"44",0,0,0,0,0,0,0,1
"45",0,0.5,0,0,0,0,0,1
"46",0,1,0,0,0,0,1,1
"47",0,1.5,0,0,0,0,0,1
"48",0,1,0,1,0,0,0,1
"49",0,0.5,0,1,1,0,1,2
"50",0,0.5,0,0,1,0,1,1
"51",0,0.5,0,1,0,0,0,1
"52",0,1.5,0,0,0,0,1,1
"53",0,0.5,0,1,0,0,0,1
