"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"1","msni_nga","group","2","idp",0.351851851851852,NA,0.288152951250701,0.415550752453003,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"2","msni_nga","group","2","non_displaced",0.394127611518916,NA,0.3713639835074,0.416891239530432,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"3","msni_nga","group","2","returnee",0.487951807228916,NA,0.434172328062845,0.541731286394987,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"4","msni_nga","group","3","idp",0.560185185185185,NA,0.493976401343487,0.626393969026883,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"5","msni_nga","group","3","non_displaced",0.447204968944099,NA,0.424043406951096,0.470366530937103,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"6","msni_nga","group","3","returnee",0.457831325301205,NA,0.404227884182466,0.511434766419944,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"7","msni_nga","group","4","idp",0.0740740740740741,NA,0.0391410557280235,0.109007092420125,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"8","msni_nga","group","4","non_displaced",0.143421795595709,NA,0.127094150325807,0.15974944086561,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"9","msni_nga","group","4","returnee",0.0451807228915663,NA,0.0228342037099932,0.0675272420731393,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"10","msni_nga","group","1","idp",0.0138888888888889,NA,0,0.0294991997594237,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"11","msni_nga","group","1","non_displaced",0.0152456239412761,NA,0.00953782022205508,0.0209534276604971,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"12","msni_nga","group","1","returnee",0.00903614457831325,NA,0,0.0192172093471493,"state","NG036",3.98081038207106e-07,"Pearson's X^2: Rao & Scott adjustment"
"13","msni_nga","group","2","idp",0.326359832635983,NA,0.299771866940046,0.35294779833192,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"14","msni_nga","group","2","non_displaced",0.356330553449583,NA,0.330481639263146,0.38217946763602,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"15","msni_nga","group","2","returnee",0.381512605042017,NA,0.353909806515421,0.409115403568613,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"16","msni_nga","group","3","idp",0.602510460251046,NA,0.574760145133332,0.63026077536876,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"17","msni_nga","group","3","non_displaced",0.55724033358605,NA,0.530430777450238,0.584049889721862,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"18","msni_nga","group","3","returnee",0.526890756302521,NA,0.498519782041425,0.555261730563617,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"19","msni_nga","group","4","idp",0.0702928870292887,NA,0.0557967749365099,0.0847889991220675,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"20","msni_nga","group","4","non_displaced",0.0818802122820318,NA,0.0670815152205249,0.0966789093435388,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"21","msni_nga","group","4","returnee",0.0831932773109244,NA,0.0674999058529642,0.0988866487688846,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"22","msni_nga","group","1","idp",0.000836820083682008,NA,0,0.00247649226870542,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"23","msni_nga","group","1","non_displaced",0.0045489006823351,NA,0.000916886640277865,0.00818091472439234,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"24","msni_nga","group","1","returnee",0.00840336134453782,NA,0.00321622951553488,0.0135904931735408,"state","NG008",0.00249522432794017,"Pearson's X^2: Rao & Scott adjustment"
"25","msni_nga","group","3","idp",0.524590163934426,NA,0.452224595601844,0.596955732267009,"state","NG002",0.0616438576555548,"Pearson's X^2: Rao & Scott adjustment"
"26","msni_nga","group","3","non_displaced",0.439061899269512,NA,0.419986943542922,0.458136854996102,"state","NG002",0.0616438576555548,"Pearson's X^2: Rao & Scott adjustment"
"27","msni_nga","group","3","returnee",0.482504604051565,NA,0.440468986678435,0.524540221424696,"state","NG002",0.0616438576555548,"Pearson's X^2: Rao & Scott adjustment"
"28","msni_nga","group","2","idp",0.289617486338798,NA,0.223890102641763,0.355344870035832,"state","NG002",0.0616438576555548,"Pearson's X^2: Rao & Scott adjustment"
"29","msni_nga","group","2","non_displaced",0.356401384083045,NA,0.337992797919633,0.374809970246457,"state","NG002",0.0616438576555548,"Pearson's X^2: Rao & Scott adjustment"
