"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value","test.name"
"dependent.var","start",NA,NA,NA,NA,NA,NA,NA,"state","NG036",NA,"too many (>=30) unique values in dependent variable"
"dependent.var3","start",NA,NA,NA,NA,NA,NA,NA,"state","NG008",NA,"too many (>=30) unique values in dependent variable"
"dependent.var4","start",NA,NA,NA,NA,NA,NA,NA,"state","NG002",NA,"too many (>=30) unique values in dependent variable"
"dependent.var5","end",NA,NA,NA,NA,NA,NA,NA,"state","NG036",NA,"too many (>=30) unique values in dependent variable"
"dependent.var6","end",NA,NA,NA,NA,NA,NA,NA,"state","NG008",NA,"too many (>=30) unique values in dependent variable"
"dependent.var7","end",NA,NA,NA,NA,NA,NA,NA,"state","NG002",NA,"too many (>=30) unique values in dependent variable"
"dependent.var8","note1",NA,NA,NA,NA,NA,NA,NA,"state","NG036",NA,"less than 3 records have valid values in the dependent variable and in the independent variable"
"dependent.var9","note1",NA,NA,NA,NA,NA,NA,NA,"state","NG008",NA,"less than 3 records have valid values in the dependent variable and in the independent variable"
"dependent.var10","note1",NA,NA,NA,NA,NA,NA,NA,"state","NG002",NA,"less than 3 records have valid values in the dependent variable and in the independent variable"
"1","enum_female","gender_hoh","female","",0.409477521263669,NA,0.385716865771104,0.433238176756235,"state","NG036",2.94346432488435e-10,"Pearson's X^2: Rao & Scott adjustment"
"2","enum_female","gender_hoh","female","female",0.476190476190476,NA,0.262538219911705,0.689842732469247,"state","NG036",2.94346432488435e-10,"Pearson's X^2: Rao & Scott adjustment"
"3","enum_female","gender_hoh","female","male",0.559077809798271,NA,0.52213095673317,0.596024662863371,"state","NG036",2.94346432488435e-10,"Pearson's X^2: Rao & Scott adjustment"
"4","enum_female","gender_hoh","male","",0.59052247873633,NA,0.566761823243765,0.614283134228896,"state","NG036",2.94346432488435e-10,"Pearson's X^2: Rao & Scott adjustment"
"5","enum_female","gender_hoh","male","female",0.523809523809524,NA,0.310157267530753,0.737461780088294,"state","NG036",2.94346432488435e-10,"Pearson's X^2: Rao & Scott adjustment"
